AHL_GP,AHL_total_TOI,AHL_goals,primary_assists,secondary_assists,ev_goals,ev_primary_assists,ev_secondary_assists,AHL_shots,ev_shots,passes,ev_passes,ze_controlled_entry,ze_uncontrolled_entry,ze_controlled_exit,ze_uncontrolled_exit,penalties_taken,penalties_drawn,team_ev_shots_for,team_ev_shots_against,GP,G,A,P,PlusMinus,PIM,PointPerGame,PPG,PPP,SHG,SHP,GWG,OTG,S,ShootingPercentage,NHL_TOIPerGame_sec,ShiftsPerGame,FaceoffWinPercentage
32,28320,3,3,4,0,1,4,62,46,345,232,42,44,43,24,13,8,251,297,6,0,0,0,-1,2,0,0,0,0,0,0,0,4,0,353,10.5,54.5
32,28320,3,3,4,0,1,4,62,46,345,232,42,44,43,24,13,8,251,297,32,3,2,5,-4,23,0.16,0,0,0,0,0,0,16,18.8,406,10,46.9
32,28320,3,3,4,0,1,4,62,46,345,232,42,44,43,24,13,8,251,297,65,7,8,15,-8,74,0.23,0,0,0,0,2,0,65,10.8,609,14.7,61.2
32,28320,3,3,4,0,1,4,62,46,345,232,42,44,43,24,13,8,251,297,57,2,4,6,-11,75,0.11,0,0,0,0,0,0,31,6.5,572,14.5,64.5
26,30788,0,2,1,0,2,1,61,53,422,324,13,85,63,95,4,4,272,467,5,0,0,0,0,4,0,0,0,0,0,0,0,8,0,965,25.2,0
26,30788,0,2,1,0,2,1,61,53,422,324,13,85,63,95,4,4,272,467,5,0,0,0,0,4,0,0,0,0,0,0,0,8,0,965,25.2,0
18,20964,0,3,2,0,3,2,52,31,456,288,6,37,59,48,7,3,201,218,5,0,0,0,4,2,0,0,0,0,0,0,0,4,0,872,21.4,0
18,20964,0,3,2,0,3,2,52,31,456,288,6,37,59,48,7,3,201,218,27,2,2,4,-7,10,0.15,1,1,0,0,0,0,39,5.1,919,21.6,0
18,20964,0,3,2,0,3,2,52,31,456,288,6,37,59,48,7,3,201,218,26,0,1,1,-3,8,0.04,0,0,0,0,0,0,11,0,730,18.7,0
20,23282,6,8,10,0,6,4,121,89,534,369,109,47,93,26,1,6,308,187,6,1,2,3,-1,2,0.5,0,1,0,0,1,0,11,9.1,854,21,66.7
17,22996,1,7,3,0,5,3,80,56,531,382,16,47,91,39,0,5,258,242,7,0,0,0,-2,4,0,0,0,0,0,0,0,7,0,695,16,0
30,37064,1,4,4,0,3,4,90,68,586,477,9,108,105,96,3,1,358,562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,8,0
30,37064,1,4,4,0,3,4,90,68,586,477,9,108,105,96,3,1,358,562,2,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,1139,22.5,0
