ID,draft_g,mp,draft_fg,fga,3p,3pa,draft_ft,fta,orb,draft_trb,draft_ast,draft_stl,draft_blk,draft_tov,draft_pf,draft_pts,fg_per,3p_per,ft_per,mp_per,pts_per,trb_per,ast_per,season,weight,height,position,shoots,born,draft_year,pk,amature_honor,college,career_g,career_per,career_ws,career_ws48,career_ws_per_game,career_per_greater_than_15,ws_pergame_greater_than_0,ws48_greater_than_0
1985037,0.638888889,0,0.55036855,0.481351981,0,0,0.5,0.557103064,0,0.645378151,0,0.554054054,0.356164384,0,0,0.489112228,0.776504298,0,0.728952772,0,0.571830986,0.775757576,0,1984-85,0.260416667,0.577464789,Small Forward,Right,1962-12-04,1985,37,0,Long Island University,180,14.1,5.3,0.107,0.0294444,no,yes,yes
1985038,0.721340388,0.611928937,0.537927538,0.474821475,0,0,0.422423429,0.468364505,0,0.375163399,0.098743792,0.243028743,0.147785751,0.413007627,0.596752696,0.462391322,0.772183563,0,0.729881686,0.761545824,0.48562486,0.378354978,0.106316138,,0.40625,0.647887324,Center,Right,1962-03-25,1985,38,0,,24,-0.9,-0.4,-0.144,-0.0166667,no,no,no
1985040,0.666666667,0.621516526,0.542997543,0.442890443,0,0,0.35915493,0.454038997,0,0.453781513,0,0.277027027,0.136986301,0.467532468,0.824427481,0.450586265,0.833810888,0,0.642710472,0.831658291,0.507042254,0.509090909,0,1984-85,0.40625,0.718309859,Center,Right,1962-11-15,1985,40,1,Oral Roberts University,375,9,9.3,0.075,0.0248,no,yes,yes
1985041,0.777777778,0.715489307,0.57985258,0.479020979,0,0,0.440140845,0.495821727,0,0.339495798,0,0.094594595,0.105022831,0.305194805,0.442748092,0.494974874,0.82234957,0,0.72073922,0.841708543,0.487323944,0.309090909,0,1984-85,0.4375,0.577464789,Small Forward,Right,1963-11-25,1985,41,1,North Carolina State University,36,11.5,0.5,0.086,0.0138889,no,yes,yes
1985043,0.805555556,0.784834738,0.73955774,0.707459207,0,0,0.482394366,0.47632312,0,0.21512605,0,0.290540541,0.00913242,0.506493506,0.564885496,0.613065327,0.710601719,0,0.82238193,0.894472362,0.588732394,0.16969697,0,1984-85,0.291666667,0.507042254,Small Forward,Right,1963-01-17,1985,43,0,Iowa State University,2,15.2,0,0.157,0,yes,no,yes
1985044,0.694444444,0.733635774,0.643734644,0.578088578,0,0,0.366197183,0.395543175,0,0.309243697,0,0,0.0456621,0,0.541984733,0.520938023,0.756446991,0,0.751540041,0.947236181,0.566197183,0.315151515,0,1984-85,0.3125,0.605633803,Small Forward,Right,1962-10-12,1985,44,0,Bradley University,4,-5.6,-0.1,-0.355,-0.025,no,no,no
1985045,0.638888889,0.651976669,0.464373464,0.389277389,0,0,0.422535211,0.431754875,0,0.351260504,0.199386503,0.114864865,0.292237443,0.493506494,0.564885496,0.412060302,0.810888252,0,0.794661191,0.90201005,0.478873239,0.393939394,0.239583333,1984-85,0.385416667,0.718309859,Center and Power Forward,Right,1962-08-09,1985,45,0,Tulane University,887,15.6,70.5,0.129,0.0794814,yes,yes,yes
1985046,0.888888889,0.841218406,0.663390663,0.616550117,0,0,0.461267606,0.479108635,0,0.28907563,0,0.304054054,0.082191781,0.642857143,0.923664122,0.556951424,0.730659026,0,0.782340862,0.881909548,0.487323944,0.218181818,0,1984-85,0.239583333,0.577464789,Small Forward,Right,1963-11-17,1985,46,1,University of Maryland,130,15.1,2.1,0.07,0.0161538,yes,yes,yes
1985047,0.75,0.76992871,0.678132678,0.62004662,0,0,0.422535211,0.529247911,0,0.230252101,0.248466258,0.398648649,0.03196347,0.584415584,0.496183206,0.557788945,0.743553009,0,0.648870637,0.932160804,0.569014085,0.2,0.260416667,1984-85,0.239583333,0.535211268,Shooting Guard and Small Forward,Right,1963-09-11,1985,47,0,University of Tennessee at Chattanooga,900,13,33.9,0.062,0.0376667,no,yes,yes
1985049,0.777777778,0.692806222,0.321867322,0.292540793,0,0,0.292253521,0.364902507,0,0.465546218,0,0.148648649,0.200913242,0.454545455,0.824427481,0.283919598,0.747851003,0,0.650924025,0.814070352,0.273239437,0.448484848,0,1984-85,0.4375,0.718309859,Power Forward,Right,1962-03-26,1985,49,0,"University of California, Los Angeles",16,9.5,-0.1,-0.045,-0.00625,no,no,no
1985054,0.722222222,0.749837978,0.722358722,0.664335664,0,0,0.654929577,0.690807799,0,0.411764706,0.13190184,0.344594595,0.155251142,0.402597403,0.671755725,0.64321608,0.739255014,0,0.770020534,0.93718593,0.681690141,0.418181818,0.145833333,1984-85,0.364583333,0.535211268,Small Forward and Power Forward,Right,1963-09-02,1985,54,0,Mercer University,994,12.6,41.7,0.09,0.0419517,no,yes,yes
1985059,0.611111111,0.540505509,0.319410319,0.319347319,0,0,0.316901408,0.320334262,0,0.114285714,0,0.168918919,0.01369863,0.525974026,0.633587786,0.288107203,0.679083095,0,0.803901437,0.77638191,0.343661972,0.096969697,0,1984-85,0.208333333,0.394366197,Point Guard,Right,1962-04-13,1985,59,0,University of Dayton,112,7.8,0,0,0,no,no,no
1985061,0.666666667,0.661049903,0.508599509,0.483682984,0,0,0.429577465,0.506963788,0,0.344537815,0,0.290540541,0.02283105,0.474025974,0.595419847,0.443886097,0.714899713,0,0.68788501,0.884422111,0.498591549,0.36969697,0,1984-85,0.364583333,0.507042254,Shooting Guard,Right,1963-08-04,1985,61,0,Virginia Polytechnic Institute and State University,9,3,-0.1,-0.047,-0.0111111,no,no,no
1985063,0.666666667,0.646143876,0.540540541,0.497668998,0,0,0.471830986,0.515320334,0,0.235294118,0,0.493243243,0.059360731,0.37012987,0.435114504,0.475711893,0.73782235,0,0.743326489,0.864321608,0.535211268,0.236363636,0,1984-85,0.239583333,0.464788732,Shooting Guard,Right,1963-09-18,1985,63,0,Santa Clara University,20,16.1,0.1,0.041,0.005,yes,yes,yes
