rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
332,16,CA,Benjamin Jones,F,61,5,4,9,16,-10,0,0,2,0.082,0.066,0.148
333,16,US,Kyle MacLean,F,47,4,5,9,30,-3,0,0,1,0.085,0.106,0.191
334,17,CA,Brendan Harrogate,F,57,3,6,9,28,-2,0,0,0,0.053,0.105,0.158
335,17,CA,Keenan Reynolds,F,47,3,6,9,37,-23,0,0,0,0.064,0.128,0.191
336,17,US,Drake Rymsha,F,32,3,6,9,28,-7,0,0,0,0.094,0.188,0.281
337,19,US,Jarrett Meyer,D,66,2,7,9,34,-26,1,0,1,0.03,0.106,0.136
338,16,CA,Sullivan Sparkes,F,51,2,7,9,20,-2,0,0,0,0.039,0.137,0.176
339,17,CA,Connor Hall,D,39,2,7,9,49,7,0,0,0,0.051,0.179,0.231
340,19,CA,Jared Walsh,D,26,2,7,9,10,11,0,1,0,0.077,0.269,0.346
341,20,CA,Tyler Hill,F,21,2,7,9,32,-18,1,0,0,0.095,0.333,0.429
342,17,CA,Mitchell Mendonca,F,43,5,3,8,6,-8,3,0,0,0.116,0.07,0.186
343,17,CA,Christian Girhiny,F,50,4,4,8,8,0,0,0,0,0.08,0.08,0.16
344,18,CA,Liam Murray,D,62,3,5,8,92,-6,0,0,0,0.048,0.081,0.129
345,17,CA,Giordano Finoro,F,52,3,5,8,12,-2,0,0,1,0.058,0.096,0.154
346,19,CA,Nick Pastorious,F,48,3,5,8,80,-6,0,0,0,0.063,0.104,0.167
347,19,CA,Daniel Beaudoin,F,36,3,5,8,15,-7,0,0,0,0.083,0.139,0.222
348,19,CA,Marc Stevens,F,34,3,5,8,58,-16,0,0,0,0.088,0.147,0.235
349,20,NO,Markus S?berg,F,22,3,5,8,10,-2,1,0,0,0.136,0.227,0.364
350,17,CZ,Matyas Kantner,F,59,2,6,8,14,-8,0,0,0,0.034,0.102,0.136
351,17,CA,Mitchell Byrne,D,55,2,6,8,20,17,0,1,0,0.036,0.109,0.145
352,16,CA,Samuel Duchesne,D,53,1,7,8,57,-16,0,0,0,0.019,0.132,0.151
353,17,CA,Trenton Bourque,D,52,0,8,8,32,-6,0,0,0,0,0.154,0.154
354,17,CA,Tyler Nother,D,51,0,8,8,35,12,0,0,0,0,0.157,0.157
355,19,CA,Stephan Seeger,F,46,5,2,7,18,-8,1,0,0,0.109,0.043,0.152
356,19,CA,Conor Cummins,D,67,4,3,7,37,-51,2,0,0,0.06,0.045,0.104
357,18,CA,Bryce Yetman,F,45,3,4,7,14,-15,1,0,0,0.067,0.089,0.156
358,17,CA,David Sherman,F,33,3,4,7,16,-6,0,0,1,0.091,0.121,0.212
359,18,CA,Cole Mayo,D,68,2,5,7,36,-61,0,0,0,0.029,0.074,0.103
360,16,CA,Ben Garagan,F,60,2,5,7,38,-12,0,0,0,0.033,0.083,0.117
361,18,DE,Jakob Mayenschein,F,56,2,5,7,8,7,0,0,0,0.036,0.089,0.125
362,18,CA,Stephen Templeton,D,55,2,5,7,45,-13,0,0,1,0.036,0.091,0.127
363,17,CA,Keaton Middleton,D,66,1,6,7,66,-24,1,0,0,0.015,0.091,0.106
364,18,US,Douglas Blaisdell,D,61,1,6,7,46,17,0,0,1,0.016,0.098,0.115
365,19,US,Nathan Billitier,D,53,1,6,7,17,1,1,0,0,0.019,0.113,0.132
366,18,CA,Connor Schlichting,D,44,1,6,7,28,13,1,0,0,0.023,0.136,0.159
367,18,CA,Cameron Lizotte,D,60,0,7,7,102,-7,0,0,0,0,0.117,0.117
368,19,RU,Alexander Mikulovich,D,55,0,7,7,35,-3,0,0,0,0,0.127,0.127
369,19,CA,Thomas Lattavo,F,19,3,3,6,6,5,0,0,1,0.158,0.158,0.316
370,19,CA,Matt Gillard,F,8,3,3,6,12,4,0,0,1,0.375,0.375,0.75
371,18,CA,Matt Latin,F,51,2,4,6,12,-2,0,0,0,0.039,0.078,0.118
372,17,CA,Connor Warnholtz,F,49,2,4,6,4,-4,0,0,0,0.041,0.082,0.122
373,20,DK,Mads Eller,F,22,2,4,6,26,3,0,0,1,0.091,0.182,0.273
374,17,CA,Jack Hanley,D,58,0,6,6,12,-15,0,0,0,0,0.103,0.103
375,16,CA,Nicholas Deakin-Poot,F,58,3,2,5,39,-28,0,0,0,0.052,0.034,0.086
376,17,CA,Chase Campbell,F,43,3,2,5,15,2,0,0,0,0.07,0.047,0.116
377,18,CA,Michael Holmes,D,50,2,3,5,14,-10,0,0,0,0.04,0.06,0.1
378,16,CA,Noel Hoefenmayer,D,45,2,3,5,18,-18,0,0,1,0.044,0.067,0.111
379,19,CA,Daniel De Sousa,D,33,2,3,5,42,6,0,0,0,0.061,0.091,0.152
380,16,CA,Greg Meireles,F,7,2,3,5,0,1,1,0,1,0.286,0.429,0.714
381,19,CA,Graeme Brown,D,53,1,4,5,80,-2,0,0,0,0.019,0.075,0.094
382,16,CA,Jacob Ball,F,49,1,4,5,6,-1,0,0,0,0.02,0.082,0.102
383,18,CA,Chase Stewart,D,45,1,4,5,44,-15,0,0,1,0.022,0.089,0.111
384,18,US,Kyle Rhodes,D,39,1,4,5,47,-23,0,0,1,0.026,0.103,0.128
385,17,RU,Konstantin Chernyuk,D,37,1,4,5,38,12,1,0,1,0.027,0.108,0.135
386,18,CA,Ryan Orban,D,61,0,5,5,33,3,0,0,0,0,0.082,0.082
387,20,CA,Jacob Smith,G,52,0,5,5,0,,0,0,0,0,0.096,0.096
388,17,CA,Brock Philips,D,49,4,0,4,92,-19,1,0,0,0.082,0,0.082
389,16,US,Lucas Boka,F,58,3,1,4,37,1,1,0,0,0.052,0.017,0.069
390,17,US,Austin Grzenia,F,26,3,1,4,4,-2,0,0,0,0.115,0.038,0.154
391,17,CA,Eddie Schulz,F,61,2,2,4,25,-10,0,1,0,0.033,0.033,0.066
392,17,CA,Joseph Mizzi,F,54,2,2,4,22,-11,0,0,0,0.037,0.037,0.074
393,17,CA,Kyle Langdon,F,50,2,2,4,31,-5,0,0,1,0.04,0.04,0.08
394,17,CA,Taylor Egan,D,50,1,3,4,17,-5,0,0,1,0.02,0.06,0.08
