@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,22-23-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {C,L,D,R}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute GP_greater_than_0 {no,yes}

@data
0.071429,CAN,0.823529,0.459459,D,0.217742,0.65,0.051282,0.118182,0.090426,0.210856,0.625899,0.448276,0,0,0,0.066667,0.137931,no
0.071429,CAN,0.352941,0.324324,C,0.459677,0.57,0.269231,0.427273,0.361702,0.075157,0.496403,0.758621,0.136364,0.666667,0.5,0.083333,0.310345,no
0,EURO,0.588235,0.396396,L,0.419355,0.68,0.333333,0.227273,0.271277,0.121086,0.388489,?,?,?,?,?,?,no
0,EURO,0.529412,0.594595,D,0.120968,0.63,0.076923,0.027273,0.047872,0.121086,0.446043,?,?,?,?,?,?,no
0,CAN,0.705882,0.495495,D,0.282258,0.39,0.012821,0.036364,0.026596,0.169102,0.597122,0.551724,0,0.033333,0.021739,0.133333,0.206897,no
0,EURO,0.529412,0.396396,L,0.274194,0.44,0.217949,0.209091,0.212766,0.131524,0.467626,?,?,?,?,?,?,no
0,EURO,0.470588,0.378378,L,0.177419,0.44,0.24359,0.090909,0.154255,0.008351,0.496403,?,?,?,?,?,?,no
0,EURO,0.588235,0.396396,R,0.116935,0.52,0.397436,0.2,0.281915,0.160752,0.496403,0.034483,0.045455,0,0.021739,0.016667,0.310345,no
0.071429,CAN,0.411765,0.342342,C,0.375,0.67,0.371795,0.263636,0.308511,0.154489,0.604317,0.137931,0.090909,0.1,0.108696,0.125,0.206897,no
0.071429,EURO,0.529412,0.558559,L,?,0.37,0.179487,0.054545,0.106383,0.079332,0.496403,0.034483,0,0,0,0,0.310345,no
0,EURO,0.470588,0.441441,D,0.241935,0.54,0.205128,0.218182,0.212766,0.083507,0.496403,?,?,?,?,?,?,no
0,CAN,0.529412,0.324324,L,0.427419,0.68,0.294872,0.318182,0.308511,0.056367,0.143885,?,?,?,?,?,?,no
0,CAN,0.705882,0.558559,L,0.387097,0.41,0.153846,0.036364,0.085106,0.185804,0.561151,?,?,?,?,?,?,no
0.071429,EURO,0.470588,0.801802,R,0.278226,0.62,0.423077,0.272727,0.335106,0.129436,0.618705,0.413793,0.227273,0.1,0.173913,0.083333,0.37931,no
0,CAN,0.529412,0.423423,D,0.5,0.68,0.064103,0.245455,0.170213,0.068894,0.733813,0.689655,0,0.133333,0.086957,0.083333,0.827586,no
0.071429,USA,0.411765,0.459459,R,0.318548,0.4,0.076923,0.054545,0.06383,0.121086,0.496403,?,?,?,?,?,?,no
0,CAN,0.588235,0.378378,L,0.229839,0.66,0.205128,0.254545,0.234043,0.020877,0.640288,0.172414,0.045455,0,0.021739,0.016667,0.275862,no
0.142857,CAN,0.470588,0.081081,R,?,0.79,0.5,0.363636,0.420213,0.083507,0.244604,?,?,?,?,?,?,no
0.071429,CAN,0.588235,0.693694,D,0.197581,0.59,0.192308,0.3,0.255319,0.290188,0.323741,0.172414,0.045455,0.066667,0.065217,0.066667,0.137931,no
0.071429,USA,0.882353,0.738739,D,0.491935,0,0,0,0,0,0.496403,?,?,?,?,?,?,no
0,EURO,0.294118,0.423423,L,0.080645,0.48,0.179487,0.090909,0.12766,0.121086,0.489209,?,?,?,?,?,?,no
0.071429,USA,0.764706,0.720721,D,0.302419,0.23,0,0,0,0.058455,0.388489,?,?,?,?,?,?,no
0.071429,USA,0.647059,0.423423,D,0.25,0.25,0.115385,0.172727,0.148936,0.045929,0.496403,?,?,?,?,?,?,no
0,EURO,0.588235,0.495495,R,0.084677,0.52,0.282051,0.118182,0.18617,0.096033,0.57554,?,?,?,?,?,?,no
0,CAN,0.470588,0.297297,R,0.125,0.67,0.576923,0.527273,0.547872,0.033403,0.489209,0.172414,0.227273,0.1,0.173913,0.033333,0.448276,no
0.071429,CAN,0.411765,0.297297,D,?,0.68,0.179487,0.627273,0.441489,0.033403,0.856115,0.689655,0.318182,0.766667,0.652174,0.066667,0.793103,no
0,EURO,0.470588,0.243243,L,?,0.35,0.012821,0.027273,0.021277,0.093946,0.496403,?,?,?,?,?,?,no
0.071429,USA,0.588235,0.423423,D,0.306452,0.49,0.051282,0.2,0.138298,0.070981,0.496403,0.344828,0,0.033333,0.021739,0.1,0.310345,no
0,EURO,0.647059,0.540541,D,0.03629,0.51,0.038462,0.090909,0.069149,0.008351,0.503597,?,?,?,?,?,?,no
