@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,22-23'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {C,L,D,R,W,F}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute GP_greater_than_0 {no,yes}

@data
19,EURO,71,179,L,?,29,6,6,12,16,0,3,0,0,0,0,0,no
22,EURO,73,207,D,?,47,6,10,16,90,7,5,2,2,4,14,1,no
18,EURO,69,194,L,84,55,40,31,71,78,-1,?,?,?,?,?,?,no
18,EURO,73,216,L,66,49,21,22,43,2,0,?,?,?,?,?,?,no
18,CAN,74,205,D,?,65,2,15,17,100,9,6,0,1,1,12,2,no
18,EURO,71,187,C,35,48,8,10,18,35,-4,7,0,1,1,6,0,no
20,CAN,73,203,D,?,66,2,21,23,270,28,5,0,1,1,8,-3,no
23,EURO,70,172,R,?,49,29,15,44,22,19,12,9,2,11,8,10,no
18,USA,73,194,D,?,65,10,46,56,73,11,13,1,9,10,14,3,no
20,USA,75,198,D,?,54,12,39,51,75,0,?,?,?,?,?,?,no
18,CAN,75,223,L,?,66,15,19,34,144,-18,?,?,?,?,?,?,no
19,CAN,71,185,R,?,69,18,27,45,93,10,5,0,2,2,4,-3,no
22,EURO,72,176,D,?,45,5,8,13,60,0,?,?,?,?,?,?,no
20,EURO,70,185,R,?,66,54,44,98,52,23,19,3,4,7,4,2,no
20,CAN,73,205,R,?,46,15,22,37,70,-24,10,7,4,11,11,4,no
21,EURO,71,198,C,?,78,19,30,49,54,15,2,0,0,0,6,-1,no
20,CAN,73,181,R,?,61,21,19,40,200,1,6,2,4,6,28,-1,no
18,EURO,73,207,R,49,46,17,27,44,40,-19,?,?,?,?,?,?,no
21,EURO,73,196,R,?,52,9,4,13,20,0,3,0,0,0,0,-1,no
18,CAN,72,205,C,?,73,19,34,53,131,-29,?,?,?,?,?,?,no
18,EURO,71,203,L,?,72,17,12,29,79,-12,6,2,1,3,4,-2,no
18,CAN,73,194,F,?,59,15,16,31,35,-4,6,1,0,1,7,-6,no
18,EURO,75,190,L,68,44,2,4,6,10,0,?,?,?,?,?,?,no
18,CAN,75,216,C,6,66,19,54,73,95,0,11,4,3,7,37,-4,no
18,EURO,74,203,C,14,54,13,21,34,48,0,15,0,6,6,4,0,no
19,USA,74,196,C,54,36,6,8,14,60,1,?,?,?,?,?,?,no
18,EURO,72,198,R,4,24,4,3,7,47,-1,3,1,0,1,2,0,no
18,EURO,72,198,D,16,36,10,7,17,44,-1,?,?,?,?,?,?,no
18,EURO,73,203,R,11,11,4,1,5,6,-1,?,?,?,?,?,?,no
18,CAN,76,225,L,59,64,8,14,22,227,-27,5,1,1,2,4,-6,no
20,CAN,76,231,L,?,56,33,33,66,71,35,9,6,2,8,4,6,no
20,CAN,74,185,D,?,65,1,14,15,49,11,20,3,4,7,27,5,no
19,USA,71,185,C,19,38,10,10,20,74,0,?,?,?,?,?,?,no
20,CAN,74,190,D,?,60,2,27,29,85,-17,5,0,1,1,7,-2,no
19,USA,74,218,D,30,53,7,17,24,42,24,12,0,2,2,8,3,no
18,EURO,76,216,C,24,14,9,8,17,27,0,6,5,2,7,10,0,no
18,EURO,72,220,D,27,33,3,1,4,40,0,?,?,?,?,?,?,no
18,EURO,73,214,D,12,69,5,13,18,73,6,2,0,0,0,2,0,no
18,CAN,77,220,D,52,55,5,9,14,139,-15,4,0,0,0,0,-4,no
18,CAN,71,192,L,78,60,12,15,27,98,-1,11,0,1,1,11,0,no
19,USA,75,207,D,65,41,3,14,17,18,0,?,?,?,?,?,?,no
20,CAN,77,227,D,?,62,3,10,13,279,0,?,?,?,?,?,?,no
19,USA,73,192,F,151,26,23,38,61,11,0,?,?,?,?,?,?,no
19,USA,72,205,D,47,22,3,4,7,14,4,?,?,?,?,?,?,no
20,EURO,79,238,D,102,68,4,23,27,46,33,12,3,3,6,8,3,no
20,USA,75,207,D,49,25,1,5,6,18,0,?,?,?,?,?,?,no
18,CAN,74,231,L,175,60,3,2,5,247,0,9,0,0,0,24,-1,no
18,EURO,73,209,D,55,44,4,6,10,174,0,10,0,0,0,12,0,no
20,EURO,75,205,D,74,39,1,2,3,73,6,?,?,?,?,?,?,no
18,CAN,76,216,R,89,34,6,5,11,43,-10,5,0,0,0,13,-4,no
18,EURO,73,207,D,15,37,0,1,1,18,-1,?,?,?,?,?,?,no
18,EURO,75,209,L,67,69,21,33,54,60,-2,4,0,1,1,2,-4,no
18,EURO,75,187,D,132,63,3,15,18,22,15,21,1,2,3,8,-4,no
18,CAN,73,205,D,72,60,8,33,41,10,25,9,2,3,5,8,5,no
19,USA,72,183,L,56,34,12,10,22,38,0,?,?,?,?,?,?,no
20,EURO,73,192,D,82,57,4,3,7,95,-1,?,?,?,?,?,?,no
20,USA,73,205,L,104,39,11,25,36,40,0,?,?,?,?,?,?,no
19,CAN,78,205,D,55,65,4,13,17,101,18,14,0,0,0,8,-5,no
19,CAN,70,190,C,115,57,21,47,68,36,0,23,3,20,23,10,0,no
