id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,po_PlusMinus_norm,GP_greater_than_0,wx_sum,lmt_prob,LeafNode
8467386,Denis Arkhipov,0.07142857142857142,EURO,0.5714285714285714,0.5192307692307693,C,1998,60,0.2535885167464115,0.32222222222222224,0.0273972602739726,0.0196078431372549,0.02531645569620253,0.0041753653444676405,0.552,0.0,0.0,0.0,0.0,0.0,0.375,yes,0.3501410620664096,0.41334821431703966,4
8470121,Matt Greene,0.07142857142857142,USA,0.5714285714285714,0.7211538461538461,D,2002,44,0.2535885167464115,0.6111111111111112,0.0547945205479452,0.19607843137254902,0.1518987341772152,0.31315240083507306,0.552,0.23333333333333334,0.0,0.038461538461538464,0.021739130434782608,0.25833333333333336,0.375,yes,-0.8669578085553908,0.70411228719100272,5
520,Janos Vas,0.0,EURO,0.42857142857142855,0.40384615384615385,R,2002,32,0.2583732057416268,0.4666666666666667,0.2465753424657534,0.17647058823529413,0.22784810126582278,0.13778705636743216,0.568,0.3333333333333333,0.47619047619047616,0.15384615384615385,0.30434782608695654,0.05,0.375,no,4.977353006657452,0.0068451038704344718,6
3232,Teemu Kesa,0.0,EURO,0.42857142857142855,0.46153846153846156,D,1999,100,0.2583732057416268,0.4888888888888889,0.0547945205479452,0.058823529411764705,0.06329113924050633,0.36325678496868474,0.552,0.3333333333333333,0.0,0.0,0.0,0.1,0.375,no,0.31969852592757064,0.42074922114940277,5
11610,Jared Newman,0.0,USA,0.5,0.3557692307692308,D,2000,110,0.2583732057416268,0.5555555555555556,0.0136986301369863,0.14705882352941177,0.10126582278481013,0.2567849686847599,0.64,0.7666666666666667,0.0,0.19230769230769232,0.10869565217391304,0.2833333333333333,0.75,no,27.790286488154074,8.5277002745863607e-13,7
16859,Chad Starling,0.07142857142857142,CAN,0.7857142857142857,0.4230769230769231,D,1999,114,0.2583732057416268,0.7222222222222222,0.0547945205479452,0.12745098039215685,0.10759493670886076,0.21085594989561587,0.696,0.4666666666666667,0.0,0.0,0.0,0.06666666666666667,0.16666666666666666,no,10.434927778065749,2.9387029174037394e-05,1
19591,Denis Yachmenyov,0.0,EURO,0.42857142857142855,0.33653846153846156,L,2002,200,0.2583732057416268,0.7222222222222222,0.2328767123287671,0.11764705882352941,0.18354430379746836,0.06680584551148225,0.552,0.16666666666666666,0.09523809523809523,0.0,0.043478260869565216,0.0,0.375,no,-0.6863142793783155,0.66514651892642995,5
8467535,Jaroslav Svoboda,0.0,EURO,0.5714285714285714,0.38461538461538464,L,1998,208,0.2583732057416268,0.5444444444444444,0.1917808219178082,0.21568627450980393,0.22784810126582278,0.0,0.552,0.0,0.0,0.0,0.0,0.0,0.375,yes,-0.23683641783797782,0.55893388752088369,5
8468569,Libor Pivko,0.14285714285714285,EURO,0.5,0.2980769230769231,L,2000,89,0.2583732057416268,0.5777777777777777,0.1780821917808219,0.1568627450980392,0.18354430379746836,0.1022964509394572,0.552,0.13333333333333333,0.14285714285714285,0.15384615384615385,0.15217391304347827,0.0,0.375,yes,-0.7086561478493358,0.67010414963960441,5
8469546,Danny Bois,0.0,CAN,0.35714285714285715,0.33653846153846156,R,2001,97,0.2583732057416268,0.7333333333333333,0.2876712328767123,0.1568627450980392,0.23417721518987342,0.4551148225469729,0.552,0.16666666666666666,0.09523809523809523,0.038461538461538464,0.06521739130434782,0.15833333333333333,0.375,yes,-0.7980867765469029,0.6895650754001752,5
