id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,po_PlusMinus_norm,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
8468107,Goran Bezina,0.07142857142857142,EURO,0.5,0.6153846153846154,D,1999,234,999999999,0.8,0.1643835616438356,0.06862745098039216,0.12025316455696203,0.16701461377870563,0.552,0.13333333333333333,0.0,0.0,0.0,0.016666666666666666,0.375,3,16,yes
8468112,Pierre Hedin,0.21428571428571427,EURO,0.42857142857142855,0.3557692307692308,D,1999,239,999999999,0.45555555555555555,0.0821917808219178,0.049019607843137254,0.06962025316455696,0.05845511482254697,0.552,0.43333333333333335,0.047619047619047616,0.038461538461538464,0.043478260869565216,0.1,0.375,3,58,yes
8468120,Mikko Eloranta,0.6428571428571429,EURO,0.35714285714285715,0.27884615384615385,L,1999,247,999999999,0.6888888888888889,0.273972602739726,0.22549019607843138,0.2721518987341772,0.22755741127348644,0.552,0.3333333333333333,0.047619047619047616,0.23076923076923078,0.15217391304347827,0.21666666666666667,0.375,264,3132,yes
8468123,Noah Clarke,0.14285714285714285,USA,0.14285714285714285,0.27884615384615385,L,1999,250,999999999,0.5777777777777777,0.4246575342465753,0.3137254901960784,0.3987341772151899,0.09812108559498957,0.552,0.43333333333333335,0.38095238095238093,0.07692307692307693,0.21739130434782608,0.13333333333333333,0.375,7,56,yes
8468130,Hannes Hyvonen,0.42857142857142855,EURO,0.5,0.375,R,1999,257,999999999,0.5777777777777777,0.3150684931506849,0.17647058823529413,0.25949367088607594,0.1544885177453027,0.552,0.13333333333333333,0.09523809523809523,0.038461538461538464,0.06521739130434782,0.016666666666666666,0.375,42,395,yes
8468518,Tomas Kopecky,0.0,EURO,0.5714285714285714,0.47115384615384615,R,2000,38,999999999,0.8222222222222222,0.1506849315068493,0.14705882352941177,0.16455696202531644,0.1336116910229645,0.552,0.16666666666666666,0.0,0.0,0.0,0.0,0.375,27,199,yes
8468526,Jarret Stoll,0.14285714285714285,CAN,0.42857142857142855,0.5288461538461539,C,2002,36,999999999,0.6444444444444445,0.4657534246575342,0.4215686274509804,0.4873417721518987,0.1419624217118998,0.616,0.8666666666666667,0.2857142857142857,0.7307692307692307,0.5434782608695652,0.2916666666666667,0.375,360,6126,yes
8468529,Jonas Nordqvist,0.0,EURO,0.5714285714285714,0.3942307692307692,C,2000,49,999999999,0.5111111111111111,0.2328767123287671,0.29411764705882354,0.2974683544303797,0.06680584551148225,0.552,0.2,0.14285714285714285,0.19230769230769232,0.17391304347826086,0.016666666666666666,0.375,3,42,yes
8468534,Andreas Lilja,0.5,EURO,0.5714285714285714,0.5673076923076923,D,2000,54,999999999,0.5444444444444444,0.1095890410958904,0.10784313725490197,0.12025316455696203,0.1837160751565762,0.552,0.2,0.0,0.0,0.0,0.06666666666666667,0.375,319,5716,yes
8468536,Aleksander Suglobov,0.0,EURO,0.35714285714285715,0.375,R,2000,56,999999999,0.4222222222222222,0.3150684931506849,0.09803921568627451,0.2088607594936709,0.0,0.552,0.0,0.0,0.0,0.0,0.0,0.375,18,148,yes
8468553,Sergei Zinovjev,0.14285714285714285,EURO,0.21428571428571427,0.23076923076923078,C,2000,73,999999999,0.4444444444444444,0.0684931506849315,0.06862745098039216,0.0759493670886076,0.05010438413361169,0.552,0.0,0.0,0.0,0.0,0.0,0.375,10,98,yes
8468561,Alexandre Kharitonov,0.42857142857142855,EURO,0.07142857142857142,0.08653846153846154,R,2000,81,999999999,0.45555555555555555,0.2191780821917808,0.22549019607843138,0.2468354430379747,0.05845511482254697,0.552,0.5666666666666667,0.38095238095238093,0.15384615384615385,0.2608695652173913,0.08333333333333333,0.375,71,789,yes
8468577,Niclas Wallin,0.5,EURO,0.5714285714285714,0.5673076923076923,D,2000,97,999999999,0.5888888888888889,0.1095890410958904,0.09803921568627451,0.11392405063291139,0.1732776617954071,0.552,0.36666666666666664,0.09523809523809523,0.038461538461538464,0.06521739130434782,0.11666666666666667,0.375,340,5558,yes
8468578,Jonas Ronnqvist,0.6428571428571429,EURO,0.5,0.375,R,2000,98,999999999,0.6222222222222222,0.2054794520547945,0.2647058823529412,0.26582278481012656,0.08768267223382047,0.552,0.26666666666666666,0.14285714285714285,0.11538461538461539,0.13043478260869565,0.03333333333333333,0.375,38,403,yes
