id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
8471269,"Nicklas Grossmann",19,SWE,EURO,76,230,D,2004,56,58,34,1,2,3,32,0,2,0,0,0,0,0,281,4929,yes
8473473,"Milan Lucic",18,CAN,CAN,75,236,L,2006,50,58,62,9,10,19,149,4,23,3,4,7,56,7,405,6190,yes
8474153,"Michal Repik",19,CZE,EURO,70,180,R,2007,40,58,56,24,31,55,56,0,27,13,20,33,28,0,72,773,yes
11673,"Ben Wright",18,Canada,CAN,74,196,D,2006,113,59,55,5,13,18,79,-2,6,3,5,8,12,2,0,0,no
8471399,"Robbie Earl",19,USA,USA,73,195,L,2004,187,59,42,14,13,27,46,0,0,0,0,0,0,0,47,422,yes
8471762,"Chris VandeVelde",18,USA,USA,74,190,C,2005,97,59,37,36,36,72,28,1,4,0,2,2,0,-1,17,256,yes
8474063,"Mark Katic",18,CAN,CAN,70,191,D,2007,62,59,74,5,36,41,31,8,4,1,3,4,8,-1,11,181,yes
8474748,"Andrew MacWilliam",18,CAN,CAN,74,223,D,2008,188,59,54,0,13,13,130,0,24,1,5,6,55,0,12,185,yes
11129,"Maxime Tanguay",19,Canada,CAN,71,176,C,2007,69,60,54,24,36,60,32,-14,0,0,0,0,0,0,0,0,no
12208,"Robby Dee",18,USA,USA,73,183,C,2005,86,60,28,49,38,87,14,0,0,0,0,0,0,0,0,0,no
13652,"Jan Steber",19,"Czech Rep.",EURO,75,203,C,2004,252,60,72,17,16,33,45,-26,0,0,0,0,0,0,0,0,no
18851,"Justin Jokinen",19,USA,USA,75,185,R,2008,101,60,37,26,31,57,58,0,0,0,0,0,0,0,0,0,no
8473568,"Andreas Nodl",19,AUT,EURO,73,196,R,2006,39,60,58,29,30,59,16,13,14,6,9,15,6,2,183,2171,yes
11401,"Zack Torquato",18,Canada,CAN,72,194,C,2007,178,61,71,30,42,72,95,-25,0,0,0,0,0,0,0,0,no
12267,"Simon Danis-Pepin",18,Canada,CAN,79,207,D,2006,61,61,25,0,5,5,14,4,0,0,0,0,0,0,0,0,no
18596,"Corey Fienhage",18,USA,USA,75,216,D,2008,81,61,48,9,12,21,88,5,2,0,0,0,0,0,0,0,no
8471742,"Cody Franson",18,CAN,CAN,77,224,D,2005,79,61,64,2,11,13,44,-10,4,0,1,1,0,0,198,3000,yes
4284,"Valtteri Tenkanen",19,Finland,EURO,71,183,C,2004,264,62,37,4,6,10,4,-2,11,2,3,5,0,-2,0,0,no
11593,"Wacey Rabbit",19,Canada,CAN,70,181,C,2005,154,62,70,22,45,67,70,23,4,1,2,3,0,0,0,0,no
19181,"Steven Delisle",18,Canada,CAN,78,234,D,2008,107,62,70,6,23,29,89,8,19,0,10,10,16,0,0,0,no
8471352,"Jake Dowell",19,USA,USA,72,200,C,2004,140,62,43,6,15,21,50,0,0,0,0,0,0,0,102,1193,yes
8473574,"Shawn Matthias",18,CAN,CAN,76,231,L,2006,47,62,74,14,21,35,44,-9,6,3,0,3,2,-1,253,3214,yes
8473997,"Luca Caputi",19,CAN,CAN,75,200,L,2007,111,62,68,27,38,65,66,0,5,2,1,3,0,0,35,453,yes
9321,"Mike Carman",18,USA,USA,72,181,C,2006,81,63,83,31,47,78,136,7,0,0,0,0,0,0,0,0,no
9494,"Frederik Cabana",18,Canada,CAN,73,183,C,2004,171,63,77,18,25,43,96,-9,0,0,0,0,0,0,0,0,no
18746,"Matt Marshall",19,USA,USA,73,201,C,2007,150,63,27,14,10,24,8,0,0,0,0,0,0,0,0,0,no
19041,"Eric Mestery",18,Canada,CAN,76,194,D,2008,57,63,71,2,14,16,65,9,16,2,1,3,10,0,0,0,no
8471699,"Andrew Cogliano",18,CAN,CAN,70,184,L,2005,25,63,49,36,66,102,33,0,25,22,24,46,20,0,410,6082,yes
3706,"Jonathan Carlsson",20,Sweden,EURO,74,187,D,2008,162,64,71,8,9,17,45,-8,4,2,0,2,0,0,0,0,no
19050,"Julien Demers",19,Canada,CAN,74,218,D,2008,146,64,65,5,28,33,94,-5,4,0,2,2,0,-3,0,0,no
