@relation 'AHL_NHL_BN_norm-weka.filters.unsupervised.attribute.Remove-R2-10,12,17-20'

@attribute AHL_GP numeric
@attribute AHL_passes numeric
@attribute AHL_ze_controlled_entry numeric
@attribute AHL_ze_uncontrolled_entry numeric
@attribute AHL_ze_controlled_exit numeric
@attribute AHL_ze_uncontrolled_exit numeric
@attribute NHL_GP numeric
@attribute NHL_G numeric
@attribute NHL_A numeric
@attribute NHL_P numeric
@attribute NHL_PlusMinus numeric
@attribute NHL_PIM numeric
@attribute NHL_PointPerGame numeric
@attribute NHL_PPG numeric
@attribute NHL_PPP numeric
@attribute NHL_SHG numeric
@attribute NHL_SHP numeric
@attribute NHL_GWG numeric
@attribute NHL_OTG numeric
@attribute NHL_S numeric
@attribute NHL_ShootingPercentage numeric
@attribute NHL_TOIPerGame_sec numeric
@attribute NHL_ShiftsPerGame numeric
@attribute NHL_FaceoffWinPercentage numeric

@data
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.493827,0.028571,0.125,0.090909,0.403846,0.034483,0.15,0,0,0,0,0,0,0.180258,0.024,0.527802,0.481229,0.43
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.296296,0,0.025,0.015152,0.5,0.017241,0.04,0,0,0,0,0,0,0.051502,0,0.450813,0.464164,0.463
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.864198,0.2,0.55,0.439394,0.769231,0.060345,0.41,0,0,0.5,1,0,0,0.446352,0.067,0.666382,0.651877,0.521
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.074074,0,0,0,0.538462,0,0,0,0,0,0,0,0,0.021459,0,0.538067,0.532423,0.474
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.814815,0.2,0.225,0.242424,0.673077,0.051724,0.24,0,0,0.25,0.166667,0,0,0.429185,0.07,0.659538,0.583618,0.558
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.160494,0,0.075,0.045455,0.557692,0.017241,0.21,0,0,0,0.333333,0,0,0.042918,0,0.430282,0.453925,0.633
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.765432,0.142857,0.225,0.212121,0.5,0.068966,0.22,0,0,0.25,0.166667,0.222222,0,0.296137,0.072,0.542344,0.464164,0.561
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.061728,0.028571,0.025,0.030303,0.615385,0,0.33,0,0,0.25,0.333333,0,0,0.04721,0.091,0.417451,0.409556,0.679
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.432099,0.114286,0.15,0.151515,0.653846,0.051724,0.28,0,0,0,0,0,0,0.171674,0.1,0.379812,0.327645,0.61
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.098765,0,0,0,0.557692,0.025862,0,0,0,0,0,0,0,0.055794,0,0.514115,0.593857,0.688
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.728395,0.085714,0.15,0.136364,0.480769,0.068966,0.15,0,0,0.25,0.166667,0.111111,0,0.330472,0.039,0.520958,0.501706,0.58
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.185185,0,0.05,0.030303,0.538462,0.025862,0.13,0,0,0,0,0,0,0.072961,0,0.766467,0.720137,0.593
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.91358,0.228571,0.375,0.348485,0.75,0.043103,0.31,0,0,0.25,0.5,0.222222,0,0.48927,0.07,0.668948,0.573379,0.568
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.580247,0.114286,0.25,0.212121,0.576923,0.034483,0.29,0,0.076923,0,0.166667,0,0,0.253219,0.068,0.621899,0.587031,0.573
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.901235,0.228571,0.325,0.318182,0.288462,0.086207,0.28,0.083333,0.153846,0.25,0.333333,0.111111,0,0.343348,0.1,0.609068,0.675768,0.565
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.82716,0.171429,0.175,0.19697,0.480769,0.073276,0.19,0.083333,0.038462,0.25,0.333333,0.111111,0,0.27897,0.092,0.5355,0.604096,0.559
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.790123,0.057143,0.05,0.060606,0.442308,0.043103,0.06,0,0,0.25,0.166667,0,0,0.227468,0.038,0.478186,0.481229,0.579
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.148148,0.028571,0,0.015152,0.480769,0.008621,0.08,0,0,0,0,0,0,0.034335,0.125,0.271172,0.324232,0.558
0.03125,0.017312,0.018349,0.030534,0.017341,0.043478,0.148148,0.028571,0,0.015152,0.480769,0.008621,0.08,0,0,0,0,0,0,0.034335,0.125,0.271172,0.324232,0.558
0.84375,0.42668,0.522936,0.534351,0.33526,0.347826,0.049383,0,0,0,0.576923,0.043103,0,0,0,0,0,0,0,0,0,0.223268,0.167235,0.5
0.84375,0.42668,0.522936,0.534351,0.33526,0.347826,0.074074,0,0,0,0.557692,0.008621,0,0,0,0,0,0,0,0.017167,0,0.242087,0.296928,0
0.84375,0.42668,0.522936,0.534351,0.33526,0.347826,0,0,0,0,0.576923,0,0,0,0,0,0,0,0,0,0,0.471343,0.453925,0
0.84375,0.42668,0.522936,0.534351,0.33526,0.347826,0.296296,0.085714,0.05,0.075758,0.538462,0.025862,0.2,0.083333,0.038462,0,0,0,0,0.158798,0.081,0.528657,0.525597,0.423
0.84375,0.42668,0.522936,0.534351,0.33526,0.347826,0.012346,0,0.025,0.015152,0.596154,0.017241,0.5,0,0,0,0.166667,0,0,0,0,0.667237,0.539249,0.667
0.84375,0.42668,0.522936,0.534351,0.33526,0.347826,0.012346,0,0,0,0.557692,0.008621,0,0,0,0,0,0,0,0.012876,0,0.426005,0.368601,0.588
0.84375,0.42668,0.522936,0.534351,0.33526,0.347826,0.012346,0,0,0,0.557692,0.008621,0,0,0,0,0,0,0,0.012876,0,0.426005,0.368601,0.588
0.96875,0.347251,0.385321,0.335878,0.248555,0.208696,0.098765,0,0.05,0.030303,0.596154,0,0.22,0,0,0,0,0,0,0.025751,0,0.36698,0.351536,0.125
0.96875,0.347251,0.385321,0.335878,0.248555,0.208696,0.148148,0.028571,0.025,0.030303,0.442308,0.068966,0.15,0,0,0,0,0,0,0.042918,0.1,0.302823,0.307167,0.478
0.96875,0.347251,0.385321,0.335878,0.248555,0.208696,0.061728,0,0,0,0.557692,0.008621,0,0,0,0,0,0,0,0.017167,0,0.153978,0.197952,0.545
0.96875,0.347251,0.385321,0.335878,0.248555,0.208696,0.382716,0.085714,0.05,0.075758,0.5,0.099138,0.16,0,0,0,0,0,0,0.06867,0.188,0.199316,0.180887,0.469
0.96875,0.347251,0.385321,0.335878,0.248555,0.208696,0.790123,0.2,0.2,0.227273,0.423077,0.318966,0.23,0,0,0,0,0.222222,0,0.27897,0.108,0.372968,0.341297,0.612
0.96875,0.347251,0.385321,0.335878,0.248555,0.208696,0.691358,0.057143,0.1,0.090909,0.365385,0.323276,0.11,0,0,0,0,0,0,0.133047,0.065,0.341317,0.334471,0.645
0.78125,0.425662,0.119266,0.648855,0.364162,0.826087,0.049383,0,0,0,0.576923,0.017241,0,0,0,0,0,0,0,0.034335,0,0.677502,0.699659,0
0.78125,0.425662,0.119266,0.648855,0.364162,0.826087,0.049383,0,0,0,0.576923,0.017241,0,0,0,0,0,0,0,0.034335,0,0.677502,0.699659,0
0.53125,0.460285,0.055046,0.282443,0.34104,0.417391,0.049383,0,0,0,0.653846,0.008621,0,0,0,0,0,0,0,0.017167,0,0.597947,0.569966,0
0.53125,0.460285,0.055046,0.282443,0.34104,0.417391,0.320988,0.057143,0.05,0.060606,0.442308,0.043103,0.15,0.083333,0.038462,0,0,0,0,0.167382,0.051,0.638152,0.576792,0
0.53125,0.460285,0.055046,0.282443,0.34104,0.417391,0.308642,0,0.025,0.015152,0.519231,0.034483,0.04,0,0,0,0,0,0,0.04721,0,0.476476,0.477816,0
0.59375,0.539715,1,0.358779,0.537572,0.226087,0.061728,0.028571,0.05,0.045455,0.557692,0.008621,0.5,0,0.038462,0,0,0.111111,0,0.04721,0.091,0.582549,0.556314,0.667
0.5,0.53666,0.146789,0.358779,0.526012,0.33913,0.074074,0,0,0,0.538462,0.017241,0,0,0,0,0,0,0,0.030043,0,0.446535,0.385666,0
0.90625,0.592668,0.082569,0.824427,0.606936,0.834783,0,0,0,0,0.576923,0,0,0,0,0,0,0,0,0,0,0.185629,0.112628,0
0.90625,0.592668,0.082569,0.824427,0.606936,0.834783,0.012346,0,0,0,0.557692,0,0,0,0,0,0,0,0,0.012876,0,0.826347,0.607509,0
0.90625,0.592668,0.082569,0.824427,0.606936,0.834783,0.012346,0,0,0,0.557692,0,0,0,0,0,0,0,0,0.012876,0,0.826347,0.607509,0
0.78125,0.479633,0.688073,0.312977,0.468208,0.156522,0.08642,0.057143,0.025,0.045455,0.615385,0.008621,0.38,0,0,0.25,0.333333,0,0,0.04721,0.182,0.396065,0.406143,0
0.78125,0.479633,0.688073,0.312977,0.468208,0.156522,0.493827,0.142857,0.3,0.257576,0.673077,0.025862,0.41,0.083333,0.038462,0,0.166667,0,0,0.124464,0.172,0.4645,0.416382,0.409
0.78125,0.479633,0.688073,0.312977,0.468208,0.156522,0.296296,0,0.125,0.075758,0.615385,0.034483,0.2,0,0.038462,0,0,0,0,0.090129,0,0.561163,0.549488,0.444
0.375,0.123218,0.146789,0.183206,0.069364,0.06087,0.037037,0,0,0,0.538462,0,0,0,0,0,0,0,0,0,0,0.233533,0.225256,0.5
0.375,0.123218,0.146789,0.183206,0.069364,0.06087,0.08642,0,0,0,0.5,0,0,0,0,0,0,0,0,0.030043,0,0.312233,0.286689,0.692
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,0.049383,0,0.025,0.015152,0.557692,0.008621,0.2,0,0,0,0,0,0,0.012876,0,0.394354,0.453925,0.5
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,0.888889,0.2,0.35,0.318182,0.403846,0.112069,0.29,0.083333,0.115385,0,0,0.111111,0,0.506438,0.059,0.427716,0.416382,0.497
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,0.888889,0.228571,0.25,0.272727,0.538462,0.125,0.25,0.166667,0.115385,0.75,0.666667,0,0,0.51073,0.067,0.550043,0.532423,0.519
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,0.074074,0.028571,0.125,0.090909,0.615385,0.017241,0.86,0,0.076923,0,0,0,0,0.085837,0.05,0.806672,0.682594,0.524
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,1,0.6,0.4,0.560606,0.519231,0.150862,0.45,0.666667,0.384615,0.5,0.333333,0.444444,0,0.523605,0.172,0.572284,0.501706,0.471
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,0.160494,0.085714,0.1,0.106061,0.576923,0.043103,0.5,0.166667,0.076923,0,0,0,0,0.103004,0.125,0.747648,0.610922,0.6
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,1,0.657143,0.75,0.80303,0.557692,0.133621,0.65,0.75,0.923077,0.25,0.333333,0.333333,0,0.793991,0.124,0.738238,0.580205,0.511
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,0.074074,0.057143,0.025,0.045455,0.538462,0.017241,0.43,0,0,0,0,0.111111,0,0.090129,0.095,0.875107,0.692833,0.619
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,0.950617,0.714286,0.85,0.893939,0.884615,0.146552,0.76,1,0.807692,0.25,0.333333,0.444444,1,0.95279,0.113,0.790419,0.569966,0.451
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,0.098765,0.028571,0.15,0.106061,0.576923,0.008621,0.78,0,0.038462,0,0,0,0,0.090129,0.048,0.976048,0.863481,0.555
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,1,0.457143,0.8,0.727273,0.846154,0.198276,0.59,0.333333,0.5,0.25,0.5,0.333333,0.5,0.888412,0.077,0.797263,0.634812,0.513
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,0.160494,0.057143,0.125,0.106061,0.596154,0.025862,0.5,0,0.038462,0,0,0,0,0.111588,0.077,0.889649,0.754266,0.485
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,1,0.457143,0.625,0.621212,0.423077,0.146552,0.5,0.416667,0.346154,0.25,0.166667,0.555556,0.5,0.819742,0.084,0.800684,0.68942,0.476
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,0.098765,0.028571,0.075,0.060606,0.615385,0.025862,0.44,0,0.038462,0,0,0,0,0.042918,0.1,0.700599,0.600683,0.506
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,0.617284,0.228571,0.175,0.227273,0.442308,0.068966,0.29,0.083333,0.115385,0.25,0.333333,0.111111,0,0.321888,0.107,0.737382,0.634812,0.441
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,0.160494,0.028571,0.025,0.030303,0.596154,0,0.14,0,0,0,0,0,0,0.064378,0.067,0.4645,0.460751,0.475
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,0.802469,0.2,0.325,0.30303,0.538462,0.103448,0.3,0,0.038462,0,0.166667,0.222222,0,0.454936,0.066,0.607357,0.549488,0.439
0.28125,0.09776,0.12844,0.122137,0.086705,0.130435,0.987654,0.057143,0.3,0.212121,0.326923,0.077586,0.17,0,0,0,0.166667,0.111111,0,0.433476,0.02,0.438837,0.409556,0.403
0.53125,0.220978,0.284404,0.320611,0.196532,0.104348,0.024691,0.028571,0.025,0.030303,0.615385,0.017241,0.67,0,0,0,0,0.111111,0,0.021459,0.2,0.293413,0.317406,0
0.53125,0.220978,0.284404,0.320611,0.196532,0.104348,0.037037,0,0,0,0.576923,0.008621,0,0,0,0,0,0,0,0.017167,0,0.20787,0.259386,0
0.53125,0.220978,0.284404,0.320611,0.196532,0.104348,0.037037,0,0,0,0.576923,0.008621,0,0,0,0,0,0,0,0.017167,0,0.20787,0.259386,0
0.75,0.450102,0.422018,0.389313,0.236994,0.191304,0.679012,0.057143,0.075,0.075758,0.365385,0.068966,0.09,0,0,0,0,0,0,0.274678,0.031,0.499572,0.518771,0.483
0.75,0.450102,0.422018,0.389313,0.236994,0.191304,0.061728,0,0,0,0.519231,0.021552,0,0,0,0,0,0,0,0.025751,0,0.393499,0.37884,0.464
0.75,0.450102,0.422018,0.389313,0.236994,0.191304,0.061728,0,0,0,0.519231,0.021552,0,0,0,0,0,0,0,0.025751,0,0.393499,0.37884,0.464
0.84375,0.520367,0.183486,0.740458,0.473988,0.817391,0.123457,0.028571,0,0.015152,0.519231,0.068966,0.09,0,0,0,0,0,0,0.017167,0.25,0.504705,0.453925,0
0.84375,0.520367,0.183486,0.740458,0.473988,0.817391,0.098765,0,0,0,0.596154,0.030172,0,0,0,0,0,0,0,0.038627,0,0.562019,0.494881,0
0.84375,0.520367,0.183486,0.740458,0.473988,0.817391,0.135802,0.028571,0.075,0.060606,0.596154,0.056034,0.33,0,0,0,0,0,0,0.034335,0.125,0.49444,0.450512,0
