AHL_GP,AHL_total_TOI,AHL_goals,AHL_primary_assists,AHL_secondary_assists,AHL_ev_goals,AHL_ev_primary_assists,AHL_ev_secondary_assists,AHL_shots,AHL_ev_shots,AHL_passes,AHL_ev_passes,AHL_ze_controlled_entry,AHL_ze_uncontrolled_entry,AHL_ze_controlled_exit,AHL_ze_uncontrolled_exit,AHL_penalties_taken,AHL_penalties_drawn,AHL_team_ev_shots_for,AHL_team_ev_shots_against,NHL_GP,NHL_G,NHL_A,NHL_P,NHL_PlusMinus,NHL_PIM,NHL_PointPerGame,NHL_PPG,NHL_PPP,NHL_SHG,NHL_SHP,NHL_GWG,NHL_OTG,NHL_S,NHL_ShootingPercentage,NHL_TOIPerGame_sec,NHL_ShiftsPerGame,NHL_FaceoffWinPercentage
0.75,0.428378974,0.071428571,0.071428571,0,0,0.111111111,0,0.168949772,0.185897436,0.218940937,0.221893491,0.403669725,0.297709924,0.242774566,0.12173913,0.411764706,0.125,0.410780669,0.338078292,0,0,0,0,0.576923077,0,0,0,0,0,0,0,0,0.004291845,0,0.100940975,0.078498294,0
0.03125,0.026355754,0,0,0,0,0,0,0.00913242,0.012820513,0.017311609,0.028106509,0.018348624,0.030534351,0.01734104,0.043478261,0.235294118,0.083333333,0.022304833,0.028469751,0.49382716,0.028571429,0.125,0.090909091,0.403846154,0.034482759,0.15,0,0,0,0,0,0,0.180257511,0.024,0.52780154,0.481228669,0.43
0.03125,0.026355754,0,0,0,0,0,0,0.00913242,0.012820513,0.017311609,0.028106509,0.018348624,0.030534351,0.01734104,0.043478261,0.235294118,0.083333333,0.022304833,0.028469751,0.296296296,0,0.025,0.015151515,0.5,0.017241379,0.04,0,0,0,0,0,0,0.051502146,0,0.45081266,0.464163823,0.463
0.03125,0.026355754,0,0,0,0,0,0,0.00913242,0.012820513,0.017311609,0.028106509,0.018348624,0.030534351,0.01734104,0.043478261,0.235294118,0.083333333,0.022304833,0.028469751,0.864197531,0.2,0.55,0.439393939,0.769230769,0.060344828,0.41,0,0,0.5,1,0,0,0.446351931,0.067,0.666381523,0.651877133,0.521
0.03125,0.026355754,0,0,0,0,0,0,0.00913242,0.012820513,0.017311609,0.028106509,0.018348624,0.030534351,0.01734104,0.043478261,0.235294118,0.083333333,0.022304833,0.028469751,0.074074074,0,0,0,0.538461538,0,0,0,0,0,0,0,0,0.021459227,0,0.538066724,0.532423208,0.474
0.03125,0.026355754,0,0,0,0,0,0,0.00913242,0.012820513,0.017311609,0.028106509,0.018348624,0.030534351,0.01734104,0.043478261,0.235294118,0.083333333,0.022304833,0.028469751,0.814814815,0.2,0.225,0.242424242,0.673076923,0.051724138,0.24,0,0,0.25,0.166666667,0,0,0.429184549,0.07,0.659538067,0.583617747,0.558
0.03125,0.026355754,0,0,0,0,0,0,0.00913242,0.012820513,0.017311609,0.028106509,0.018348624,0.030534351,0.01734104,0.043478261,0.235294118,0.083333333,0.022304833,0.028469751,0.160493827,0,0.075,0.045454545,0.557692308,0.017241379,0.21,0,0,0,0.333333333,0,0,0.042918455,0,0.430282293,0.453924915,0.633
0.03125,0.026355754,0,0,0,0,0,0,0.00913242,0.012820513,0.017311609,0.028106509,0.018348624,0.030534351,0.01734104,0.043478261,0.235294118,0.083333333,0.022304833,0.028469751,0.765432099,0.142857143,0.225,0.212121212,0.5,0.068965517,0.22,0,0,0.25,0.166666667,0.222222222,0,0.296137339,0.072,0.542343884,0.464163823,0.561
0.03125,0.026355754,0,0,0,0,0,0,0.00913242,0.012820513,0.017311609,0.028106509,0.018348624,0.030534351,0.01734104,0.043478261,0.235294118,0.083333333,0.022304833,0.028469751,0.061728395,0.028571429,0.025,0.03030303,0.615384615,0,0.33,0,0,0.25,0.333333333,0,0,0.0472103,0.091,0.417450813,0.409556314,0.679
0.03125,0.026355754,0,0,0,0,0,0,0.00913242,0.012820513,0.017311609,0.028106509,0.018348624,0.030534351,0.01734104,0.043478261,0.235294118,0.083333333,0.022304833,0.028469751,0.432098765,0.114285714,0.15,0.151515152,0.653846154,0.051724138,0.28,0,0,0,0,0,0,0.17167382,0.1,0.379811805,0.327645051,0.61
