#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus
377,Marc MacKenzie(C),Red Deer Rebels,31,3,6,9,0.29,28,-4
378,Tanner Olstad(C),Regina Pats,63,3,6,9,0.14,45,-12
379,Erik Fleming(D),totals,40,1,8,9,0.23,23,-7
,,Seattle Thunderbirds,1,0,1,1,1,0,0
,,Swift Current Broncos,39,1,7,8,0.21,23,-7
380,Daniel Gibb(D),Prince George Cougars,55,1,8,9,0.16,71,-5
381,Sawyer Lange(D),Prince Albert Raiders,58,1,8,9,0.16,22,-19
382,Rob Trzonkowski(RW),Calgary Hitmen,60,1,8,9,0.15,114,-12
383,Rene Hunter(D),Brandon Wheat Kings,62,1,8,9,0.15,25,-6
384,MacKenzie Johnston(D),Kelowna Rockets,70,1,8,9,0.13,21,-16
385,Tanner Mort(D),Spokane Chiefs,36,0,9,9,0.25,32,13
386,Manraj Singh Hayer(C),Everett Silvertips,18,5,3,8,0.44,10,-4
387,Tanner Moar(D/RW),Kelowna Rockets,65,5,3,8,0.12,32,-5
388,Joshua Lazowski(C),Edmonton Oil Kings,17,4,4,8,0.47,8,3
389,Tyler Kizuik(D),Lethbridge Hurricanes,58,4,4,8,0.14,43,-24
390,Cody Thiel(RW),Red Deer Rebels,53,2,6,8,0.15,26,-3
391,Ryan Chynoweth(LW),Everett Silvertips,66,2,6,8,0.12,40,-15
392,Tyler Hart(D),totals,52,1,7,8,0.15,100,-13
,,Vancouver Giants,9,0,2,2,0.22,4,-6
,,Prince Albert Raiders,43,1,5,6,0.14,96,-7
393,Charles Wells(C),Portland Winterhawks,31,4,3,7,0.23,4,-5
401,Jason Fram(D),Spokane Chiefs,51,4,3,7,0.14,22,7
402,Marcus Messier(C),Tri-City Americans,46,3,4,7,0.15,18,-5
403,Daniel Dale(LW),Swift Current Broncos,65,3,4,7,0.11,103,-8
404,Jessey Astles(LW/RW),Kelowna Rockets,42,2,5,7,0.17,84,-5
405,Jacob Doty(C/RW),Seattle Thunderbirds,55,2,5,7,0.13,107,-10
406,Kiefer McNaughton(D),Vancouver Giants,42,1,6,7,0.17,54,15
407,Spencer Galbraith(RW/D),totals,59,0,7,7,0.12,82,-16
,,Brandon Wheat Kings,7,0,0,0,0,12,-3
