@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,24-26-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute DraftAge numeric
@attribute country_group {USA,CAN,EURO}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,L,C,R}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric

@data
0,CAN,0.5625,0.352941,D,0.274194,0.868421,0.102564,0.305556,0.216216,0.207483,0.522936,0.392857,0,0.166667,0.086957,0.107143,0.230769,22
0.111111,CAN,0.75,0.823529,L,0.41129,0.842105,0.038462,0.009259,0.016216,0.585034,0.256881,0.178571,0.045455,0.083333,0.065217,0.25,0.230769,28
0,EURO,0.625,0.588235,C,0.052419,0.855263,0.384615,0.333333,0.351351,0.244898,0.321101,0.178571,0.181818,0.041667,0.108696,0,0.115385,33
0,CAN,0.5,0.352941,L,1,0.855263,0.102564,0.083333,0.086486,0.238095,0.357798,0.535714,0.045455,0.083333,0.065217,0.285714,0.230769,34
0,CAN,0.6875,0.482353,D,0.020161,0.934211,0.166667,0.166667,0.162162,0.411565,0,?,?,?,?,?,?,36
0,USA,0.6875,0.352941,C,0.048387,0.513158,0.179487,0.231481,0.205405,0.129252,0.357798,?,?,?,?,?,?,37
0,CAN,0.375,0.094118,L,0.955645,0.802632,0.410256,0.175926,0.27027,0.061224,0.605505,0.535714,0.272727,0.291667,0.282609,0.214286,0.230769,41
0,CAN,0.4375,0.235294,L,0.024194,0.855263,0.474359,0.324074,0.383784,0.414966,0.321101,0.142857,0.045455,0,0.021739,0.285714,0.230769,42
0,EURO,0.5,0.258824,C,0.096774,0.289474,0.128205,0.12963,0.124324,0.068027,0.357798,0.142857,0.045455,0.041667,0.043478,0.035714,0.230769,43
0,CAN,0.5,0.411765,C,0.137097,0.855263,0.141026,0.138889,0.135135,0.363946,0.40367,0.142857,0.045455,0.041667,0.043478,0.142857,0.230769,48
0.222222,CAN,0.5,0.411765,D,0.28629,0.75,0.294872,0.407407,0.356757,0.112245,1,0.75,0.272727,0.791667,0.543478,0.107143,0.961538,59
0,CAN,0.5,0.247059,D,0.177419,0.671053,0.064103,0.259259,0.172973,0.204082,0.357798,?,?,?,?,?,?,61
0,EURO,0.625,0.164706,D,0.185484,0.75,0.064103,0.157407,0.113514,0.187075,0.357798,0.392857,0.045455,0.041667,0.043478,0.285714,0.230769,66
0,CAN,0.6875,0.411765,D,0.375,0.907895,0.128205,0.277778,0.210811,0.163265,0.211009,?,?,?,?,?,?,73
