@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,24-26'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,R,C,L}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric

@data
20,CAN,72,197,R,135,66,27,60,87,114,0,25,19,16,35,32,0,155
20,USA,76,224,L,62,51,14,22,36,81,0,12,2,4,6,23,0,158
18,CAN,73,215,D,82,61,5,3,8,91,0,?,?,?,?,?,?,161
18,CAN,72,203,D,15,73,9,37,46,259,0,?,?,?,?,?,?,161
18,CAN,72,197,C,3,70,40,51,91,121,0,11,5,4,9,24,0,164
19,EURO,72,195,R,19,44,20,23,43,32,0,5,4,3,7,4,0,170
19,EURO,71,195,R,90,62,42,42,84,40,0,11,9,6,15,6,0,176
18,CAN,73,210,D,13,60,19,34,53,79,0,6,0,5,5,8,0,201
23,EURO,72,205,D,?,52,12,13,25,50,0,3,0,2,2,0,0,210
19,USA,73,206,D,16,45,7,17,24,20,0,?,?,?,?,?,?,214
19,EURO,72,197,L,41,37,15,13,28,2,0,4,2,1,3,2,0,217
19,USA,74,212,R,45,42,16,8,24,76,0,?,?,?,?,?,?,234
19,EURO,72,208,R,68,68,20,38,58,61,0,21,7,17,24,18,0,238
18,EURO,73,190,L,10,66,47,46,93,107,0,11,5,11,16,36,0,254
18,EURO,72,196,R,23,46,21,25,46,14,0,?,?,?,?,?,?,263
27,EURO,72,190,L,?,62,20,23,43,109,0,10,1,6,7,26,0,264
18,EURO,73,194,R,48,54,22,38,60,16,0,23,6,13,19,6,0,269
18,EURO,74,210,R,3,61,32,30,62,12,0,8,0,0,0,0,0,298
20,CAN,73,218,D,?,56,12,54,66,87,53,14,2,15,17,22,0,299
18,CAN,76,230,L,8,68,37,38,75,95,0,4,0,4,4,6,0,308
20,EURO,70,205,L,48,52,9,17,26,61,0,4,1,0,1,0,0,317
19,CAN,70,185,C,34,42,19,25,44,38,0,?,?,?,?,?,?,321
27,EURO,74,205,D,?,51,2,8,10,22,0,22,1,5,6,39,0,348
19,USA,73,212,D,27,41,10,13,23,48,0,?,?,?,?,?,?,371
26,EURO,72,190,D,?,57,18,21,39,4,0,13,2,5,7,8,0,386
18,USA,73,190,C,4,52,35,34,69,58,0,?,?,?,?,?,?,388
26,EURO,72,200,D,?,50,10,12,22,42,0,8,0,4,4,10,0,392
