#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,#ERROR!,contract
,,Brandon Wheat Kings,4,0,0,0,0,13,1,0
,,Lethbridge Hurricanes,24,0,2,2,0.08,52,-6,0
475,Jaydan Gordon(D),Swift Current Broncos,35,0,2,2,0.06,4,-3,0
476,Marsel Ibragimov(D),totals,45,0,2,2,0.04,16,-7,0
,,Edmonton Oil Kings,1,0,0,0,0,0,0,0
,,Victoria Royals,44,0,2,2,0.05,16,-7,0
477,Connor Clouston(D),totals,47,0,2,2,0.04,61,-10,0
,,Kamloops Blazers,26,0,2,2,0.08,40,-4,0
,,Moose Jaw Warriors,21,0,0,0,0,21,-6,0
478,Stelio Mattheos(C),Brandon Wheat Kings,1,1,0,1,1,0,1,0
479,Ty Mappin(C),Saskatoon Blades,2,1,0,1,0.5,2,-2,0
480,Alexander Chirva(C),Kootenay Ice,3,1,0,1,0.33,0,-4,0
481,Dawson Holt(RW/C),Vancouver Giants,3,1,0,1,0.33,2,2,0
482,Nolan Yaremko(LW),Tri-City Americans,4,1,0,1,0.25,2,1,0
483,Rylee Zimmer(C/LW),Regina Pats,5,1,0,1,0.2,0,-2,0
484,Colten Veloso(F),Portland Winterhawks,8,1,0,1,0.13,0,0,0
485,Semyon Krasheninnikov(C/RW),Tri-City Americans,8,1,0,1,0.13,0,-2,0
486,Luke Coleman(LW),Prince Albert Raiders,14,1,0,1,0.07,6,2,0
487,Austin Wellsby(LW),Kootenay Ice,35,1,0,1,0.03,9,-8,0
488,Shaun Dosanjh(D),Vancouver Giants,38,1,0,1,0.03,25,-11,0
489,Gunnar Wegleitner(RW),Everett Silvertips,43,1,0,1,0.02,6,-9,0
490,Carter Amson(LW),Lethbridge Hurricanes,46,1,0,1,0.02,47,-14,0
491,Erik Gardiner(C/LW),Regina Pats,2,0,1,1,0.5,0,1,0
492,Caleb Fantillo(RW),Medicine Hat Tigers,2,0,1,1,0.5,0,1,0
493,Brett Davis(C),Lethbridge Hurricanes,3,0,1,1,0.33,0,-2,0
494,Kobe Mohr(LW),Edmonton Oil Kings,3,0,1,1,0.33,2,0,0
495,Dalton Hamaliuk(D),Spokane Chiefs,3,0,1,1,0.33,0,1,0
