@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,8-9,24-25'

@attribute DraftAge_norm numeric
@attribute country_group {EURO,CAN,USA}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {D,C,L,R}
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute sum_7yr_GP numeric

@data
0.111111,CAN,0.5625,0.524752,D,0.032258,0.59,0.179487,0.227273,0.207447,0.312925,0.357798,0,0,0,0,0,0.310345,366
0,CAN,0.75,0.544554,D,0.032258,0.65,0.076923,0.181818,0.138298,0.180272,0.559633,0.413793,0,0.133333,0.086957,0.220588,0.275862,367
0,CAN,0.5625,0.60396,C,0.032258,0.66,0.384615,0.490909,0.446809,0.265306,0.385321,0.310345,0.090909,0.166667,0.152174,0.176471,0.344828,256
0,EURO,0.5625,0.465347,C,0.03629,0.6,0.128205,0.072727,0.095745,0.068027,0.357798,0.137931,0,0.033333,0.021739,0,0.310345,189
0,USA,0.4375,0.455446,C,0.03629,0.65,0.384615,0.409091,0.398936,0.088435,0.495413,0.517241,0.318182,0.2,0.282609,0.029412,0.241379,114
0,CAN,0.5,0.50495,R,0.03629,0.75,0.474359,0.3,0.37234,0.136054,0.541284,0.137931,0,0.033333,0.021739,0,0.310345,336
0,EURO,0.5625,0.554455,D,0.03629,0.39,0.038462,0.045455,0.042553,0.136054,0.357798,0,0,0,0,0,0.310345,4
0,CAN,0.5,0.366337,C,0.03629,0.73,0.346154,0.590909,0.489362,0.115646,0.697248,0.206897,0.090909,0,0.043478,0.088235,0.172414,121
0,USA,0.5625,0.613861,R,0.040323,0.48,0.205128,0.227273,0.218085,0.217687,0.357798,0,0,0,0,0,0.310345,138
0,USA,0.5,0.633663,R,0.040323,0.5,0.346154,0.281818,0.308511,0.190476,0.614679,0.37931,0.227273,0.366667,0.347826,0.117647,0.724138,319
0,EURO,0.5625,0.50495,R,0.040323,0.52,0.217949,0.209091,0.212766,0.306122,0.357798,0.034483,0,0,0,0,0.310345,82
0,EURO,0.5625,0.386139,L,0.044355,0.42,0.217949,0.127273,0.164894,0.07483,0.357798,0.275862,0.227273,0.166667,0.217391,0.294118,0.310345,218
0,CAN,0.875,0.623762,D,0.044355,0.79,0.141026,0.218182,0.18617,0.119048,0.614679,0.241379,0.045455,0.033333,0.043478,0,0.310345,319
0.111111,USA,0.625,0.49505,D,0.044355,0.44,0.051282,0.163636,0.117021,0.14966,0.504587,0.448276,0,0.1,0.065217,0.264706,0.448276,74
0,EURO,1,0.910891,D,0.044355,0.55,0.115385,0.1,0.106383,0.231293,0.357798,0.206897,0,0.033333,0.021739,0.029412,0.310345,15
0,USA,0.6875,0.336634,D,0.044355,0.68,0.179487,0.463636,0.345745,0.14966,0.357798,0.37931,0.227273,0.333333,0.326087,0.058824,0.310345,45
0,EURO,0.625,0.455446,R,0.048387,0.41,0.128205,0.081818,0.101064,0.102041,0.357798,0.137931,0.045455,0,0.021739,0,0.310345,135
0,USA,0.6875,0.455446,C,0.048387,0.44,0.179487,0.245455,0.218085,0.129252,0.357798,0,0,0,0,0,0.310345,37
0.111111,EURO,0.625,0.70297,L,0.052419,0.67,0.333333,0.172727,0.239362,0.231293,0.357798,0.068966,0,0,0,0.029412,0.310345,16
0,EURO,0.625,0.653465,C,0.052419,0.7,0.384615,0.345455,0.361702,0.244898,0.321101,0.206897,0.181818,0.033333,0.108696,0,0.206897,33
0.111111,CAN,0.625,0.306931,C,0.056452,0.59,0.551282,0.627273,0.595745,0.37415,0.357798,0.482759,0.454545,0.433333,0.5,0.147059,0.310345,408
0,USA,0.6875,0.455446,D,0.056452,0.37,0.153846,0.263636,0.218085,0.013605,0.357798,0.137931,0.090909,0.1,0.108696,0.029412,0.310345,187
0.111111,EURO,0.5625,0.306931,R,0.056452,0.67,0.461538,0.127273,0.265957,0.095238,0.357798,0,0,0,0,0,0.310345,219
0,CAN,0.6875,0.554455,D,0.060484,0.76,0.064103,0.109091,0.090426,0.204082,0.266055,0.241379,0.045455,0.066667,0.065217,0,0.310345,127
0,USA,0.8125,0.70297,R,0.064516,0.51,0.564103,0.509091,0.531915,0.115646,0.357798,0.103448,0.272727,0.166667,0.23913,0,0.310345,244
0,CAN,0.75,0.683168,L,0.068548,0.59,0.25641,0.145455,0.191489,0.258503,0.275229,0.241379,0.136364,0,0.065217,0.161765,0.275862,101
0,EURO,0.6875,0.445545,D,0.068548,0.62,0.038462,0.1,0.074468,0.312925,0.357798,0.413793,0,0,0,0.323529,0.310345,106
0.111111,EURO,0.75,0.584158,L,0.068548,0.51,0.051282,0.072727,0.06383,0.193878,0.357798,0.482759,0,0.066667,0.043478,0.176471,0.310345,67
0,CAN,0.625,0.70297,D,0.072581,0.72,0.012821,0.1,0.06383,0.653061,0.284404,0.37931,0,0.066667,0.043478,0.147059,0.310345,197
0,CAN,0.625,0.663366,L,0.072581,0.73,0.24359,0.245455,0.244681,0.129252,0.311927,0.137931,0.045455,0.033333,0.043478,0.088235,0.310345,314
0.111111,USA,0.5,0.50495,L,0.072581,0.65,0.307692,0.418182,0.37234,0.496599,0.53211,0.344828,0.045455,0.1,0.086957,0.411765,0.310345,396
0,CAN,0.6875,0.49505,L,0.076613,0.58,0.115385,0.081818,0.095745,0.482993,0.311927,0.206897,0.045455,0.066667,0.065217,0.25,0.310345,6
0.111111,CAN,0.75,0.623762,R,0.076613,0.61,0.282051,0.172727,0.218085,0.255102,0.275229,0.068966,0,0,0,0.029412,0.206897,90
0,EURO,0.5625,0.60396,D,0.076613,0.46,0.064103,0.063636,0.06383,0.129252,0.357798,0.034483,0,0,0,0,0.310345,17
0.111111,USA,0.6875,0.356436,D,0.080645,0.34,0.038462,0.2,0.132979,0.193878,0.357798,0,0,0,0,0,0.310345,1
0,EURO,0.5,0.316832,C,0.080645,0.57,0.333333,0.372727,0.356383,0.12585,0.357798,0.241379,0.136364,0.2,0.195652,0.058824,0.310345,298
0,CAN,0.6875,0.643564,D,0.080645,0.72,0.076923,0.145455,0.117021,0.156463,0.59633,0.413793,0.045455,0.066667,0.065217,0.058824,0.310345,1
0,CAN,0.75,0.70297,D,0.080645,0.77,0.064103,0.290909,0.196809,0.278912,0.46789,0.172414,0,0,0,0.058824,0.206897,26
0,CAN,0.6875,0.50495,L,0.084677,0.73,0.230769,0.281818,0.260638,0.238095,0.33945,0.241379,0,0.066667,0.043478,0.058824,0.137931,2
0,USA,0.6875,0.584158,D,0.084677,0.32,0.025641,0.1,0.069149,0.034014,0.412844,0,0,0,0,0,0.310345,98
