name,CareerGP,NumSeasons,AvgGP,CareerTOI,AvgTOI,CareerPts,Overall,Round,Age,D1_Pos,D2_Pos,Great_160,Great_120,Draft Year
Nathan McIver,36,3,12,358,9.944444444,1,254,8,30,0,1,0,0,2003
Nathan Moon,0,0,0,0,0,0,120,4,25,1,0,0,0,2008
Nathan Oystrick,65,3,21.66666667,976,15.01538462,15,198,7,32,0,1,0,0,2002
Nathan Paetsch,167,5,33.4,2280,13.65269461,42,202,7,32,0,1,1,1,2003
Nathan Perkovich,0,0,0,0,0,0,250,8,29,0,0,0,0,2004
Nathan Saunders,0,0,0,0,0,0,119,4,30,0,1,0,0,2003
Nathan Smith,26,5,5.2,202,7.769230769,0,23,1,33,1,0,0,0,2000
Nazem Kadri,250,6,41.66666667,4183,16.732,152,7,1,25,1,0,1,1,2009
Ned Havern,0,0,0,0,0,0,273,9,32,0,0,0,0,2002
Ned Lukacevic,0,0,0,0,0,0,110,4,29,0,0,0,0,2004
Neil Komadoski,0,0,0,0,0,0,81,3,33,0,1,0,0,2001
Neil Petruic,0,0,0,0,0,0,235,8,33,0,1,0,0,2001
Nic Dowd,0,0,0,0,0,0,198,7,25,1,0,0,0,2009
Nichlas Torp,0,0,0,0,0,0,163,6,26,0,1,0,0,2007
Nicholas Larson,0,0,0,0,0,0,108,4,25,0,0,0,0,2008
Nicholas Petrecki,1,1,1,12,12,0,28,1,26,0,1,0,0,2007
Nick Bjugstad,159,3,53,2594,16.31446541,82,19,1,23,1,0,0,1,2010
Nick Bonino,264,6,44,3955,14.98106061,121,173,6,27,1,0,1,1,2007
Nick Boynton,605,11,55,11338,18.74049587,144,21,1,36,0,1,1,1,1999
Nick Cousins,11,1,11,97,8.818181818,0,68,3,22,1,0,0,0,2011
Nick Crawford,0,0,0,0,0,0,164,6,25,0,1,0,0,2008
Nick D'Agostino,0,0,0,0,0,0,210,,25,0,1,0,0,2008
Nick Dodge,0,0,0,0,0,0,183,6,29,0,0,0,0,2006
Nick Drazenovic,12,3,4,116,9.666666667,0,171,6,28,1,0,0,0,2005
Nick Foligno,545,8,68.125,8227,15.09541284,279,28,1,27,0,0,1,1,2006
Nick Fugere,0,0,0,0,0,0,107,4,29,0,0,0,0,2004
Nick Jensen,0,0,0,0,0,0,150,5,24,0,1,0,0,2009
Nick Johnson,113,5,22.6,1497,13.24778761,37,67,3,29,0,0,0,0,2004
Nick Larson,0,0,0,0,0,0,185,7,26,1,0,0,0,2007
Nick Leddy,336,5,67.2,6235,18.55654762,130,16,1,24,0,1,1,1,2009
Nick Luukko,0,0,0,0,0,0,179,6,23,0,1,0,0,2010
Nick Mattson,0,0,0,0,0,0,180,6,23,0,1,0,0,2010
Nick Oliver,0,0,0,0,0,0,110,4,24,1,0,0,0,2009
Nick Oslund,0,0,0,0,0,0,191,7,27,0,0,0,0,2006
Nick Palmieri,87,3,29,1089,12.51724138,25,79,3,26,0,0,0,0,2007
Nick Petersen,0,0,0,0,0,0,121,4,26,0,0,0,0,2009
Nick Pryor,0,0,0,0,0,0,208,7,24,0,1,0,0,2008
Nick Ross,0,0,0,0,0,0,30,1,26,0,1,0,0,2007
Nick Schultz,960,13,73.84615385,18495,19.265625,161,33,2,33,0,1,1,1,2000
Nick Seeler,0,0,0,0,0,0,131,5,22,0,1,0,0,2011
Nick Shore,34,1,34,377,11.08823529,7,82,3,23,1,0,0,0,2011
Nick Spaling,379,6,63.16666667,5683,14.99472296,111,58,2,27,1,0,1,1,2007
Nick Sucharski,0,0,0,0,0,0,136,5,27,0,0,0,0,2006
Nick Tarnasky,245,5,49,1757,7.171428571,30,287,9,30,1,0,1,1,2003
Nick Tremblay,0,0,0,0,0,0,173,6,27,1,0,0,0,2008
Nick Tuzzolino,0,0,0,0,0,0,196,,29,0,1,0,0,2005
Nicklas Backstrom,577,8,72.125,11522,19.96880416,572,4,1,27,1,0,1,1,2006
Nicklas Danielsson,0,0,0,0,0,0,160,5,30,0,0,0,0,2003
Nicklas Grossmann,531,9,59,9566,18.01506591,79,56,2,30,0,1,1,1,2004
Nicklas Jensen,24,3,8,342,14.25,6,29,1,22,0,0,0,0,2011
Nicklas Lasu,0,0,0,0,0,0,124,5,25,0,0,0,0,2008
Niclas Andersen,0,0,0,0,0,0,114,4,27,0,1,0,0,2006
Niclas Bergfors,173,5,34.6,2457,14.20231214,83,23,1,28,0,0,1,1,2005
Niclas Havelid,628,9,69.77777778,13725,21.85509554,171,83,3,42,0,1,1,1,1999
Niclas Lucenius,0,0,0,0,0,0,115,,26,1,0,0,0,2007
Niclas Wallin,614,10,61.4,10205,16.62052117,79,97,4,40,0,1,1,1,2000
Nico Sacchetti,0,0,0,0,0,0,50,2,26,1,0,0,0,2007
Nicolas Blanchard,9,1,9,78,8.666666667,0,192,6,28,0,0,0,0,2005
Nicolas Corbeil,0,0,0,0,0,0,88,3,32,1,0,0,0,2001
Nicolas Deschamps,3,1,3,20,6.666666667,0,35,2,25,1,0,0,0,2008
