#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus,contract
353,Jens Meilleur(RW),Brandon Wheat Kings,40,5,4,9,0.23,23,-12,0
354,Matt Grant(RW),Moose Jaw Warriors,58,5,4,9,0.16,26,-2,0
355,John Lawrence(LW),Calgary Hitmen,59,5,4,9,0.15,26,-21,0
356,Chase Clayton(C),Calgary Hitmen,55,3,6,9,0.16,35,-14,0
357,Art Bidlevskii(D),Regina Pats,57,3,6,9,0.16,140,-16,0
358,Tayler Jordan(LW),Portland Winterhawks,60,3,6,9,0.15,121,2,0
359,Adam Rossignol(C),Kootenay Ice,60,2,7,9,0.15,13,-8,0
360,Ryon Moser(LW),Lethbridge Hurricanes,50,1,8,9,0.18,10,-14,0
361,Jeff Einhorn(D),Chilliwack Bruins,58,1,8,9,0.16,43,10,0
362,Dillon Wagner(RW/C),Swift Current Broncos,25,5,3,8,0.32,31,-4,0
363,Brendan Persley(LW/C),Chilliwack Bruins,43,5,3,8,0.19,62,-9,0
364,Bernhard Keil(RW),Kamloops Blazers,46,5,3,8,0.17,37,-6,0
365,Marek Kalus(LW/RW),Spokane Chiefs,22,4,4,8,0.36,11,-5,0
366,Braeden Johnson(LW),Saskatoon Blades,31,3,5,8,0.26,8,-3,0
367,Brendan Santini(RW),Calgary Hitmen,45,2,6,8,0.18,30,-8,0
368,Joel Rogers(D),totals,39,1,7,8,0.21,67,-10,0
,,Swift Current Broncos,28,0,3,3,0.11,40,-9,0
,,Vancouver Giants,11,1,4,5,0.45,27,-1,0
369,Tyler Hart(D),Vancouver Giants,44,1,7,8,0.18,80,8,0
370,Wilson Dumais(LW),Prince George Cougars,55,1,7,8,0.15,63,1,0
371,Shane Pilling(D),Prince George Cougars,56,1,7,8,0.14,34,-8,0
372,Dalton Reum(D),totals,69,1,7,8,0.12,77,-11,0
,,Vancouver Giants,37,0,6,6,0.16,38,-4,0
,,Swift Current Broncos,32,1,1,2,0.06,39,-7,0
373,Wes Vannieuwenhuizen(D),Vancouver Giants,64,0,8,8,0.13,157,11,0
374,Jacob Doty(C/RW),Seattle Thunderbirds,70,4,3,7,0.1,176,-3,0
375,Matt Needham(C),Kamloops Blazers,13,3,4,7,0.54,8,-1,0
376,Linden Saip(D),Kamloops Blazers,13,3,4,7,0.54,28,-5,0
377,Ryan Dech(D),Edmonton Oil Kings,48,3,4,7,0.15,54,-2,0
378,Tayler Thompson(C),Prince George Cougars,50,3,4,7,0.14,4,-3,0
379,Rob Trzonkowski(RW),Calgary Hitmen,51,3,4,7,0.14,86,-15,0
380,Levi Bews(RW),Saskatoon Blades,52,3,4,7,0.13,30,-7,0
381,Dane Muench(LW),Regina Pats,23,2,5,7,0.3,12,-5,0
382,Spencer Galbraith(RW/D),Brandon Wheat Kings,42,2,5,7,0.17,87,-4,0
383,Colton Heffley(C),Kelowna Rockets,44,2,5,7,0.16,36,2,0
384,Marcus Messier(C),Tri-City Americans,48,2,5,7,0.15,6,0,0
385,Alex Elliott(LW),Saskatoon Blades,49,2,5,7,0.14,41,-7,0
401,Blair Wentworth(RW),Chilliwack Bruins,58,2,5,7,0.12,57,-7,0
402,Mitch Spooner(D),totals,33,1,6,7,0.21,6,-7,0
,,Regina Pats,15,1,4,5,0.33,4,-4,0
,,Seattle Thunderbirds,18,0,2,2,0.11,2,-3,0
403,Peter Kosterman(D),Calgary Hitmen,68,1,6,7,0.1,65,-14,0
404,Austin Bourhis(LW/D),Prince Albert Raiders,49,0,7,7,0.14,145,-9,0
405,Nils Moser(RW),totals,41,5,1,6,0.15,39,-5,0
,,Tri-City Americans,20,1,0,1,0.05,15,-1,0
,,Regina Pats,21,4,1,5,0.24,24,-4,0
406,Tyler Giebel(C/RW),Everett Silvertips,49,4,2,6,0.12,15,1,0
407,Matt Bellerive(RW),Vancouver Giants,50,4,2,6,0.12,28,-7,0
408,Michael Brown(RW),Tri-City Americans,8,3,3,6,0.75,7,3,0
409,Max Adolph(C),Kelowna Rockets,36,3,3,6,0.17,20,-8,0
410,Cain Franson(LW/C),Vancouver Giants,50,3,3,6,0.12,16,-5,0
411,Jessey Astles(LW/RW),Kelowna Rockets,59,3,3,6,0.1,129,-3,0
412,Trent Ouellette(C),Regina Pats,67,3,3,6,0.09,40,-25,0
413,Mitchell Chapman(D),Kelowna Rockets,48,2,4,6,0.13,81,13,0
414,Chad Robinson(C/LW),Red Deer Rebels,50,2,4,6,0.12,17,5,0
415,Connor Sanvido(RW/C),Seattle Thunderbirds,51,2,4,6,0.12,17,-4,0
416,Braeden Laroque(D),Edmonton Oil Kings,54,2,4,6,0.11,32,-13,0
417,Markus McCrea(LW),Everett Silvertips,64,2,4,6,0.09,56,-11,0
418,Mark Mieritz(RW),Brandon Wheat Kings,31,1,5,6,0.19,18,-9,0
419,Graeme Craig(D),Swift Current Broncos,72,1,5,6,0.08,122,-19,0
420,Garrett Leedahl(D),Spokane Chiefs,14,0,6,6,0.43,10,-1,0
