rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
609,21,CZ,Jiri Fronk,F,33,6,2,8,8,1,0,0,,0.182,0.061,0.242
610,21,CA,Justin Hickman,F,66,5,3,8,65,-11,0,0,,0.076,0.045,0.121
611,21,FR,Tim Bozon,F,41,5,3,8,14,-12,0,0,,0.122,0.073,0.195
612,28,CA,Harrison Zolnierczyk,F,24,5,3,8,31,-3,3,0,,0.208,0.125,0.333
613,26,CA,Andrew Cherniwchan,F,55,4,4,8,39,-11,0,1,,0.073,0.073,0.145
614,22,US,Jacob Doty,D,53,4,4,8,163,-4,0,0,,0.075,0.075,0.151
615,25,CA,Kellen Jones,F,33,4,4,8,8,-1,0,1,,0.121,0.121,0.242
616,25,US,Joe Pendenza,F,45,3,5,8,12,-1,0,1,,0.067,0.111,0.178
617,24,CA,Dan Biega,D,27,3,5,8,40,5,0,0,,0.111,0.185,0.296
618,20,CA,Zach Nastasiuk,F,27,3,5,8,4,6,0,0,,0.111,0.185,0.296
619,22,US,Zach Larraza,F,24,3,5,8,4,-4,0,0,,0.125,0.208,0.333
620,22,FI,Joel Armia,F,18,3,5,8,16,3,2,0,,0.167,0.278,0.444
621,27,US,Corbin McPherson,D,64,2,6,8,38,1,0,0,,0.031,0.094,0.125
622,22,CA,David Broll,F,60,2,6,8,112,-11,0,0,,0.033,0.1,0.133
623,20,CA,Hunter Smith,F,54,2,6,8,90,2,0,0,,0.037,0.111,0.148
624,26,CA,Dustin Stevenson,D,45,2,6,8,104,-3,0,0,,0.044,0.133,0.178
625,27,CA,Andrew Bodnarchuk,D,14,2,6,8,10,1,0,0,,0.143,0.429,0.571
626,25,US,Mat Clark,D,60,1,7,8,36,-9,0,0,,0.017,0.117,0.133
627,31,US,Dylan Reese,D,23,1,7,8,19,-8,0,0,,0.043,0.304,0.348
628,34,US,Jon Disalvatore,F,22,1,7,8,6,2,1,0,,0.045,0.318,0.364
629,23,CA,Michael Bournival,F,20,1,7,8,12,-7,1,0,,0.05,0.35,0.4
630,20,CA,Mason Geertsen,D,42,0,8,8,62,-1,0,0,,0,0.19,0.19
631,25,US,Cory Kane,F,42,5,2,7,18,-4,0,0,,0.119,0.048,0.167
632,28,US,Joe Devin,F,16,5,2,7,2,3,1,0,,0.313,0.125,0.438
633,21,US,Ben Johnson,F,16,5,2,7,6,5,2,1,,0.313,0.125,0.438
634,23,CA,Bryce Gervais,F,10,5,2,7,2,3,2,0,,0.5,0.2,0.7
635,23,CA,Scott Sabourin,F,42,4,3,7,90,4,0,0,,0.095,0.071,0.167
636,22,CA,Brady Brassart,F,39,4,3,7,12,-12,0,0,,0.103,0.077,0.179
637,24,US,Blake Coleman,F,14,4,3,7,19,5,0,0,,0.286,0.214,0.5
638,27,CA,Brandon Mashinter,F,12,4,3,7,11,0,1,0,,0.333,0.25,0.583
639,24,SE,Magnus Pääjärvi,F,7,4,3,7,2,6,1,0,,0.571,0.429,1
640,24,CA,Julian Melchiori,D,62,3,4,7,46,-17,0,1,,0.048,0.065,0.113
641,26,CA,Danny Hobbs,F,50,3,4,7,22,-5,0,0,,0.06,0.08,0.14
642,23,CA,Mitchell Heard,F,22,3,4,7,71,0,0,0,,0.136,0.182,0.318
643,23,US,Nick Lappin,F,12,3,4,7,19,4,1,0,,0.25,0.333,0.583
644,27,US,Zach Redmond,D,11,3,4,7,6,6,1,0,,0.273,0.364,0.636
645,20,CA,Cole Cassels,F,67,2,5,7,24,-17,0,0,,0.03,0.075,0.104
646,29,CA,Mark Fraser,D,60,2,5,7,136,-5,0,1,,0.033,0.083,0.117
647,24,DE,Matthias Plachta,F,46,2,5,7,16,-9,1,0,,0.043,0.109,0.152
648,25,US,Seth Helgeson,D,42,2,5,7,52,15,0,0,,0.048,0.119,0.167
649,21,US,Bryan Moore,F,29,2,5,7,35,0,0,0,,0.069,0.172,0.241
650,23,CA,Emerson Clark,F,29,2,5,7,62,-7,0,0,,0.069,0.172,0.241
651,21,CA,Adam Pelech,D,27,2,5,7,6,3,0,2,,0.074,0.185,0.259
652,26,US,Steve Moses,F,16,2,5,7,6,2,0,0,,0.125,0.313,0.438
653,19,SE,Oskar Lindblom,F,8,2,5,7,0,1,0,0,,0.25,0.625,0.875
654,29,US,Stu Bickel,D,59,1,6,7,210,-13,0,0,,0.017,0.102,0.119
655,22,CA,Duncan Siemens,D,53,1,6,7,90,-5,0,0,,0.019,0.113,0.132
656,30,US,Chris McKelvie,F,46,1,6,7,39,-10,0,0,,0.022,0.13,0.152
657,23,US,Jared Knight,F,37,1,6,7,8,-3,0,0,,0.027,0.162,0.189
658,29,US,Evan Rankin,F,30,1,6,7,8,-3,0,0,,0.033,0.2,0.233
659,20,CA,Greg Chase,F,19,1,6,7,25,3,0,0,,0.053,0.316,0.368
660,25,US,Vinny Saponari,F,18,1,6,7,6,1,0,0,,0.056,0.333,0.389
661,24,US,Nick Mattson,D,17,1,6,7,0,4,0,0,,0.059,0.353,0.412
662,31,CA,Brandon Prust,F,9,1,6,7,5,1,0,1,,0.111,0.667,0.778
663,23,CA,Peter Stoykewych,D,47,0,7,7,38,-6,0,0,,0,0.149,0.149
664,21,US,Jaccob Slavin,D,14,0,7,7,0,6,0,0,,0,0.5,0.5
665,28,US,Joe Finley,F,56,5,1,6,92,4,0,1,,0.089,0.018,0.107
666,20,CA,Dylan Labbe,D,54,4,2,6,50,-7,1,0,,0.074,0.037,0.111
667,23,CA,Brandon Gormley,D,39,4,2,6,26,-19,0,1,,0.103,0.051,0.154
668,35,CA,Manny Malhotra,F,23,4,2,6,6,-7,1,3,,0.174,0.087,0.261
669,20,US,Jimmy Lodge,F,44,3,3,6,10,-12,1,0,,0.068,0.068,0.136
670,26,CA,John Kurtz,F,39,3,3,6,38,0,0,0,,0.077,0.077,0.154
671,21,CA,Tyler Lewington,D,32,3,3,6,89,8,0,0,,0.094,0.094,0.188
672,21,CA,Matia Marcantuoni,F,31,3,3,6,4,-8,0,0,,0.097,0.097,0.194
673,22,CA,Clark Seymour,D,17,3,3,6,17,-1,0,0,,0.176,0.176,0.353
674,23,US,Bryan Rust,F,16,3,3,6,2,-5,1,0,,0.188,0.188,0.375
675,28,US,Kyle MacKinnon,F,11,3,3,6,0,7,0,0,,0.273,0.273,0.545
676,20,CA,Ben Harpur,D,47,2,4,6,34,-9,0,0,,0.043,0.085,0.128
677,33,US,Jared Nightingale,D,31,2,4,6,68,-3,0,0,,0.065,0.129,0.194
678,25,US,David Warsofsky,D,17,2,4,6,6,2,1,0,,0.118,0.235,0.353
679,22,CA,Curtis Valk,F,12,2,4,6,2,4,0,0,,0.167,0.333,0.5
680,21,US,Jake Guentzel,F,11,2,4,6,0,-1,0,0,,0.182,0.364,0.545
681,21,CA,Mark Jankowski,F,8,2,4,6,0,-2,2,0,,0.25,0.5,0.75
682,21,US,Cristoval Nieves,F,8,2,4,6,0,2,0,0,,0.25,0.5,0.75
