player_id,jersey_no,first_name,last_name,team_id,games_played,total_ice_time,ev_icetime,goals,primary_assists,secondary_assists,ev_goals,ev_primary_assists,ev_secondary_assists,shots,ev_shots,passes,ev_passes,ze_controlled_entry,ze_uncontrolled_entry,ze_controlled_exit,ze_uncontrolled_exit,penalties_taken,penalties_drawn,team_ev_shots_for,team_ev_shots_against
271,22,Matthew,Peca,SYR,24,7:18:35,4:40:28,2,5,5,0,3,3,68,49,433,306,75,51,88,24,2,8,293,252
293,14,Brian,Gibbons,ALB,26,7:17:14,5:20:16,7,4,4,0,2,3,80,65,475,342,75,41,81,18,9,7,333,228
444,14,Mike,Blunden,BNG,23,7:16:28,5:03:55,2,2,1,0,2,1,85,64,283,228,51,70,53,27,8,10,332,349
383,38,Curtis,Valk,UTI,26,7:16:11,5:01:59,9,7,3,0,3,2,73,54,384,281,50,56,53,26,11,5,327,252
370,28,Alexandre,Grenier,UTI,26,7:14:10,5:16:25,9,6,5,0,3,2,109,85,478,318,64,45,54,29,7,6,335,251
452,17,Max,McCormick,BNG,23,7:11:54,5:13:57,6,2,5,0,1,2,92,61,361,272,71,62,56,34,5,6,291,365
272,71,Tanner,Richard,SYR,23,7:10:37,4:42:49,4,3,4,0,3,2,70,52,558,416,87,50,96,35,9,9,370,201
50,10,Greg,Carey,LV,29,7:10:22,5:02:52,12,5,3,0,4,1,132,103,354,247,57,37,36,19,0,2,414,250
111,3,Jon,Landry,BRI,24,7:09:51,5:15:10,0,2,6,0,2,3,88,58,703,533,25,53,120,49,10,4,287,272
477,95,Justin,Bailey,RCH,24,7:07:32,5:02:02,13,4,2,0,2,2,91,85,250,192,68,63,67,34,7,11,334,326
365,34,Carter,Bancks,UTI,23,7:07:29,4:14:18,3,5,0,0,2,0,51,38,252,168,34,59,37,55,3,7,249,257
229,14,Justin,Fontaine,HAR,24,7:07:13,5:13:23,1,6,6,0,5,4,66,50,396,305,64,50,53,39,7,9,336,296
124,21,Ben,Holmstrom,BRI,28,7:06:09,4:38:05,4,3,0,0,2,0,48,42,235,183,31,55,41,39,9,7,207,385
441,23,Patrick,Sieloff,BNG,24,7:04:48,5:27:28,1,3,1,0,2,1,49,36,359,270,15,55,62,48,7,9,258,377
121,11,Tanner,Fritz,BRI,26,7:01:51,4:38:40,8,2,1,0,1,1,58,46,435,332,53,62,69,28,7,7,300,292
362,7,Jordan,Subban,UTI,23,7:00:55,5:08:56,6,3,5,0,2,1,125,88,606,433,24,51,129,45,2,3,348,244
230,51,Tanner,Glass,HAR,28,7:00:41,5:38:25,2,1,1,0,1,1,47,40,200,158,26,95,48,64,9,3,275,382
249,5,Dominik,Masin,SYR,27,6:59:16,5:23:22,2,1,0,0,0,0,67,57,365,281,18,24,43,22,3,3,288,248
176,38,Ian,McCoshen,SPR,24,6:58:18,5:40:41,0,0,1,0,0,0,76,57,435,314,8,62,63,48,4,3,272,312
493,15,Evan,Rodrigues,RCH,24,6:57:39,4:41:04,4,9,3,0,8,3,104,87,464,357,70,76,97,41,6,6,326,291
399,5,Viktor,Lööv,TOR,22,6:56:36,5:25:10,0,2,1,0,2,0,66,54,412,302,14,48,81,46,6,2,270,244
221,44,Michael,Paliotta,HAR,20,6:56:08,5:14:38,0,3,1,0,2,1,101,82,407,308,9,39,65,40,4,6,290,353
309,31,Yann,Danis,STJ,7,6:55:19,5:33:03,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,251,350
63,7,Mark,Zengerle,LV,28,6:52:45,4:35:54,6,8,3,0,5,3,54,41,479,324,57,49,67,17,5,7,297,237
83,22,Peter,Cehlárik,PRO,26,6:52:12,5:26:19,13,9,2,0,9,1,100,90,512,414,55,52,70,31,7,4,387,252
110,14,Kane,Lafranchise,BRI,22,6:51:36,4:55:39,0,2,4,0,1,3,57,38,469,321,19,54,62,53,4,1,270,313
187,25,Anthony,Greco,SPR,27,6:50:20,4:58:42,5,1,3,0,1,1,118,88,251,190,75,56,70,28,3,7,300,289
414,11,Andreas,Johnsson,TOR,26,6:46:16,5:12:25,8,2,2,0,2,1,93,72,426,309,64,49,56,19,8,9,337,194
302,21,Kevin,Rooney,ALB,29,6:45:54,4:57:04,6,2,0,0,0,0,57,48,240,167,60,56,60,33,5,19,239,287
257,11,Erik,Condra,SYR,19,6:40:27,4:10:35,3,7,5,0,6,4,66,52,403,295,58,37,62,26,5,3,304,206
252,85,Daniel,Walcott,SYR,28,6:39:27,5:31:05,1,2,2,0,0,1,78,66,331,262,31,69,66,50,14,7,287,250
24,44,Jake,Guentzel,WIL,21,6:37:23,4:23:39,11,8,6,0,4,5,121,100,567,433,105,53,75,25,4,14,414,233
454,13,Nick,Paul,BNG,24,6:36:58,5:03:28,3,5,4,0,4,3,90,64,325,257,59,62,62,35,6,4,329,300
158,36,Garrett,Mitchell,HER,30,6:36:58,5:09:18,4,2,5,0,1,3,48,36,271,173,37,60,45,31,17,16,197,263
17,15,Josh,Archibald,WIL,28,6:36:43,4:44:23,7,5,2,0,4,1,81,75,185,141,68,57,36,19,2,11,318,309
33,49,Dominik,Simon,WIL,25,6:35:47,4:49:35,3,8,3,0,6,3,76,65,466,366,57,56,58,29,4,2,418,231
403,3,Rinat,Valiyev,TOR,20,6:35:45,4:49:15,1,1,1,0,0,1,66,53,496,367,16,42,81,48,14,10,286,248
117,37,Steve,Bernier,BRI,25,6:34:56,4:12:45,12,6,1,0,3,1,67,50,247,164,31,50,31,29,7,4,283,256
260,73,Adam,Erne,SYR,23,6:33:39,4:19:35,5,5,3,0,4,3,86,72,278,209,68,53,52,23,5,6,305,213
236,17,Philip,McRae,HAR,28,6:32:56,5:18:59,5,1,3,0,1,2,73,63,256,211,71,55,67,38,3,6,251,358
256,89,Cory,Conacher,SYR,21,6:32:43,4:10:27,5,10,5,0,7,5,95,72,473,338,52,47,62,19,14,17,362,194
120,17,Michael Dal,Colle,BRI,27,6:32:04,4:30:15,5,5,2,0,4,2,86,71,353,266,64,25,58,26,7,9,318,234
14,2,Chad,Ruhwedel,WIL,17,6:31:49,4:20:04,2,5,2,0,5,2,134,112,495,386,19,57,105,58,3,2,336,230
102,41,Jaroslav,Halák,BRI,7,6:30:57,3:55:00,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,206,196
446,8,Kyle,Flanagan,BNG,23,6:30:04,4:47:00,2,5,1,0,2,1,55,33,361,266,57,43,81,19,6,10,232,275
280,2,Seth,Helgeson,ALB,21,6:29:43,4:45:41,2,1,2,0,1,0,49,33,446,302,5,44,42,42,11,5,198,273
237,24,Cristoval,Nieves,HAR,22,6:29:05,4:31:55,3,3,3,0,3,3,43,38,367,312,66,42,66,27,2,7,304,299
417,19,Brendan,Leipsic,TOR,20,6:28:02,4:25:42,6,8,10,0,6,4,121,89,534,369,109,47,93,26,1,6,308,187
170,14,Sena,Acolatse,SPR,28,6:26:37,4:46:11,4,6,3,0,4,3,86,71,396,308,27,69,64,23,11,8,329,217
481,43,Daniel,Catenacci,RCH,24,6:26:29,4:36:50,3,0,2,0,0,1,50,38,241,188,49,52,45,44,8,7,194,337
331,38,Markus,Eisenschmid,STJ,25,6:25:44,4:34:03,5,1,1,0,1,1,54,51,219,181,52,48,38,33,6,4,244,291
412,38,Colin,Greening,TOR,25,6:24:35,4:38:06,3,3,2,0,3,1,64,38,257,185,38,63,52,31,3,4,256,238
178,28,Brent,Regner,SPR,17,6:23:16,4:15:56,1,7,3,0,5,3,80,56,531,382,16,47,91,39,0,5,258,242
88,9,Danton,Heinen,PRO,23,6:23:13,4:50:15,5,6,7,0,5,6,71,56,361,280,55,44,56,24,1,7,303,250
125,12,Josh,Holmstrom,BRI,27,6:21:34,4:29:54,0,0,1,0,0,0,48,33,180,133,26,74,33,48,10,4,181,329
322,4,Philip,Samuelsson,STJ,23,6:20:26,5:07:26,1,1,1,0,1,1,51,40,384,298,4,47,57,80,8,5,223,371
164,18,Christian,Thomas,HER,30,6:20:18,4:52:46,12,6,3,0,2,1,123,85,339,215,55,60,48,31,1,8,232,216
424,9,Colin,Smith,TOR,24,6:19:49,4:41:04,2,7,0,0,3,0,86,66,403,295,65,45,56,18,6,4,327,201
34,40,Oskar,Sundqvist,WIL,23,6:19:11,4:00:59,10,6,7,0,5,7,77,64,284,224,62,58,53,40,6,8,341,259
57,23,Taylor,Leier,LV,22,6:17:27,4:08:32,6,5,7,0,2,7,76,63,326,242,51,65,54,31,3,10,298,260
397,8,Travis,Dermott,TOR,19,6:17:02,4:38:24,1,4,2,0,4,2,57,41,498,359,14,61,70,50,4,4,281,191
360,5,David,Shields,UTI,19,6:16:49,4:36:40,0,3,2,0,1,0,33,31,339,262,15,46,47,53,1,4,216,317
299,10,Rod,Pelley,ALB,29,6:14:42,4:30:32,4,5,0,0,3,0,42,27,201,142,12,47,33,48,4,2,184,290
371,36,Wacey,Hamilton,UTI,23,6:14:35,4:23:00,3,0,2,0,0,1,50,42,215,151,31,50,43,42,12,7,225,271
103,34,Eamon,McAdam,BRI,7,6:12:50,5:13:19,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,249,303
131,18,Andrew,Rowe,BRI,24,6:12:19,4:32:41,4,6,4,0,5,2,69,58,338,234,77,40,44,25,3,2,286,206
343,17,Nikita,Scherbak,STJ,22,6:11:01,4:28:42,7,4,2,0,4,1,74,64,405,291,65,57,57,22,8,2,257,233
