rank,age,nationality,name,NHL/NextYear,NHL/Ever,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
389,20,CA,Eric Brassard,0,0,G,44,0,3,3,0,,0,0,0,0,0.068,0.068
390,19,CA,Jonathan Duchesne,0,0,D,41,0,3,3,48,-1,0,0,0,0,0.073,0.073
391,19,CA,Mason McDonald,0,0,G,39,0,3,3,6,,0,0,0,0,0.077,0.077
392,18,CA,Callum Booth,0,0,G,39,0,3,3,0,,0,0,0,0,0.077,0.077
393,18,CA,Jean Christopher Thivierge,0,0,D,34,0,3,3,13,-5,0,0,0,0,0.088,0.088
394,18,CA,Bailey Webster,0,0,D,31,0,3,3,32,-1,0,0,0,0,0.097,0.097
395,18,CA,Matthew Thorpe,0,0,D,29,0,3,3,4,-2,0,0,0,0,0.103,0.103
396,18,CA,Alexandre Bernier,0,0,D,27,0,3,3,9,-4,0,0,0,0,0.111,0.111
397,16,CA,Matthew Welsh,0,0,G,26,0,3,3,0,,0,0,0,0,0.115,0.115
398,16,CA,Nicholas Cardone,0,0,F,16,0,3,3,0,2,0,0,0,0,0.188,0.188
399,18,CA,Mikael Sabourin,0,0,D,53,1,1,2,125,-15,0,0,0,0.019,0.019,0.038
400,17,CA,Danyck Calgaro,0,0,F,28,1,1,2,55,-3,0,0,0,0.036,0.036,0.071
401,17,CA,Noah Corson,0,0,F,23,1,1,2,10,-5,0,0,1,0.043,0.043,0.087
402,17,CA,Jacob Hickey,0,0,F,15,1,1,2,2,2,0,0,0,0.067,0.067,0.133
403,19,CA,Aaron Kerr,0,0,F,13,1,1,2,6,-4,0,0,0,0.077,0.077,0.154
404,17,CA,Samuel Guilbault,0,0,F,13,1,1,2,2,-2,0,0,1,0.077,0.077,0.154
405,19,CA,Evan Scott,0,0,D,13,1,1,2,20,1,0,0,0,0.077,0.077,0.154
406,18,CA,Jordan King,0,0,F,11,1,1,2,4,1,0,0,0,0.091,0.091,0.182
407,19,CA,Joel Caron,0,0,F,8,1,1,2,2,-1,0,0,1,0.125,0.125,0.25
408,19,CA,Jonathan Filion,0,0,D,4,1,1,2,0,-2,0,0,0,0.25,0.25,0.5
409,17,CA,Evan Fitzpatrick,0,0,G,54,0,2,2,4,,0,0,0,0,0.037,0.037
410,20,CA,Marc-Antoine Turcotte,0,0,G,52,0,2,2,2,,0,0,0,0,0.038,0.038
411,19,CA,Julio Billia,0,0,G,49,0,2,2,0,,0,0,0,0,0.041,0.041
412,18,CA,Anthony Dumont-Bouchard,0,0,G,48,0,2,2,0,,0,0,0,0,0.042,0.042
413,19,CA,Samuel Montembeault,0,0,G,47,0,2,2,2,,0,0,0,0,0.043,0.043
414,18,CA,Maxime Baillargeon,0,0,D,44,0,2,2,46,7,0,0,0,0,0.045,0.045
415,17,CA,Sean O'Brien,0,0,F,42,0,2,2,22,-3,0,0,0,0,0.048,0.048
416,16,CA,Ethan Crossman,0,0,F,37,0,2,2,6,-12,0,0,0,0,0.054,0.054
417,20,CA,Guillaume Rioux-Legault,0,0,D,32,0,2,2,80,-4,0,0,0,0,0.063,0.063
418,18,CA,Gabriel Bettez,0,0,D,32,0,2,2,6,-5,0,0,0,0,0.063,0.063
419,18,US,Kevin Resop,0,0,G,30,0,2,2,0,,0,0,0,0,0.067,0.067
420,18,CA,Alex Bishop,0,0,G,25,0,2,2,2,,0,0,0,0,0.08,0.08
421,18,CA,David Comeau,0,0,D,24,0,2,2,12,-4,0,0,0,0,0.083,0.083
422,18,CA,Alexandre Drapeau,0,0,D,24,0,2,2,26,-5,0,0,0,0,0.083,0.083
423,17,RU,Mikhail Denisov,0,0,G,19,0,2,2,0,,0,0,0,0,0.105,0.105
424,18,CA,Olivier Schingh-Gomez,0,0,F,16,0,2,2,33,-3,0,0,0,0,0.125,0.125
425,20,US,Matt Staples,0,0,D,14,0,2,2,23,-5,0,0,0,0,0.143,0.143
426,17,CA,Drake Batherson,0,0,F,10,0,2,2,2,-1,0,0,0,0,0.2,0.2
427,18,CA,Emmanuel Cote,0,0,F,7,0,2,2,0,0,0,0,0,0,0.286,0.286
428,18,CA,Matt Paul,0,0,D,4,0,2,2,0,-1,0,0,0,0,0.5,0.5
429,17,CA,Michael Kemp,0,0,D,3,0,2,2,4,0,0,0,0,0,0.667,0.667
430,17,US,Nicholas Blachman,0,0,F,31,1,0,1,68,-3,0,0,1,0.032,0,0.032
