rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
362,17,CA,Raphael Sawyer,F,35,1,3,4,8,-8,0,0,0,0.029,0.086,0.114
363,17,CA,Donovan Rehill,F,30,1,3,4,25,-4,1,0,0,0.033,0.1,0.133
364,19,CA,Simon Fortier,F,27,1,3,4,6,-6,0,1,1,0.037,0.111,0.148
365,17,CA,Joey Sansoni,D,24,1,3,4,32,-15,0,0,0,0.042,0.125,0.167
366,18,CA,Antoine Dufort-Plante,F,6,1,3,4,2,0,1,0,0,0.167,0.5,0.667
367,16,CA,Jacob Neveu,D,59,0,4,4,15,-13,0,0,0,0,0.068,0.068
368,17,US,Kevin Resop,G,35,0,4,4,0,,0,0,0,0,0.114,0.114
369,18,CA,Guillaume Vien,D,34,0,4,4,28,-2,0,0,0,0,0.118,0.118
370,18,CA,Xavier St. Pierre,D,20,0,4,4,13,3,0,0,0,0,0.2,0.2
371,16,CA,Felix Boivin,D,16,0,4,4,2,3,0,0,0,0,0.25,0.25
372,17,CA,Chris Chaddock,F,17,3,0,3,4,-1,0,0,1,0.176,0,0.176
373,17,CA,Louis-Philippe Simard,F,20,2,1,3,2,2,0,0,0,0.1,0.05,0.15
374,17,CA,Joey Brennan,F,3,2,1,3,0,0,0,0,1,0.667,0.333,1
375,17,CA,Nicolas Jones-Gagne,F,33,1,2,3,0,-4,0,0,0,0.03,0.061,0.091
376,16,CA,Hunter Moreau,F,29,1,2,3,13,-10,1,0,0,0.034,0.069,0.103
377,19,CA,Fraser Turner,D,25,1,2,3,27,2,0,0,0,0.04,0.08,0.12
378,17,RU,Danil Dolgushkin,D,23,1,2,3,16,7,0,0,0,0.043,0.087,0.13
379,18,CA,Jean-Francois Lavoie,F,15,1,2,3,8,-1,0,0,0,0.067,0.133,0.2
380,17,CA,Ross MacDougall,D,12,1,2,3,4,2,0,0,0,0.083,0.167,0.25
381,18,CA,Nicolas Dumulong,D,59,0,3,3,159,-6,0,0,0,0,0.051,0.051
