"id";"PlayerName";"DraftAge";"country_group";"Height";"Weight";"Position";"DraftYear";"Overall";"CSS_rank";"rs_GP";"rs_G";"rs_A";"rs_P";"rs_PIM";"rs_PlusMinus";"po_GP";"po_G";"po_A";"po_P";"po_PIM";"po_PlusMinus";"sum_7yr_GP";"GP_greater_than_0";"sum_wk_xk";"class_0_prob";"LeafNode"
"15119";"Steven Crampton";"18";"CAN";"75";"201";"L";"2000";"248";"65";"69";"22";"20";"42";"91";"-21";"4";"0";"3";"3";"9";"-5";"0";"no";"11.540954000000003";"0.000009723511653063066";"1"
"15248";"Brett Angel";"18";"CAN";"77";"220";"D";"1999";"72";"52";"55";"5";"9";"14";"139";"-15";"4";"0";"0";"0";"0";"-4";"0";"no";"11.790308000000003";"0.000007577588281400997";"1"
"15249";"Sean O'Connor";"19";"CAN";"75";"223";"R";"2000";"82";"84";"51";"5";"8";"13";"166";"-2";"2";"0";"0";"0";"2";"-1";"0";"no";"11.983285";"0.000006247736950182337";"1"
"15331";"Grant Jacobsen";"18";"CAN";"75";"209";"C";"2001";"270";"175";"64";"10";"25";"35";"40";"7";"6";"0";"1";"1";"4";"-1";"0";"no";"12.900804000000003";"0.000002496036470364533";"1"
"15343";"Patrick Wellar";"19";"CAN";"75";"209";"D";"2002";"77";"61";"61";"3";"10";"13";"125";"-4";"7";"0";"2";"2";"4";"-2";"0";"no";"11.830769000000002";"0.0000072771134599344425";"1"
"15576";"Gregor Baumgartner";"20";"EURO";"73";"198";"R";"1999";"156";"192";"68";"33";"58";"91";"14";"4";"23";"8";"8";"16";"8";"-3";"0";"no";"12.326610000000002";"0.0000044322002259252556";"1"
"15598";"Chris Ovington";"18";"CAN";"76";"205";"D";"1998";"148";"92";"68";"2";"13";"15";"72";"4";"5";"0";"0";"0";"2";"-1";"0";"no";"12.401318000000002";"0.000004113147065249361";"1"
"15719";"Colt King";"18";"CAN";"74";"220";"R";"2001";"130";"30";"65";"25";"27";"52";"129";"8";"4";"0";"1";"1";"8";"-2";"0";"no";"11.497258000000002";"0.000010157805249931769";"1"
"15766";"Michael Tessier";"18";"CAN";"74";"183";"L";"2002";"76";"72";"66";"22";"48";"70";"83";"-3";"14";"5";"7";"12";"12";"-1";"0";"no";"11.778651000000002";"0.000007666436395945306";"1"
"15831";"Tomas Linhart";"18";"EURO";"74";"227";"D";"2002";"45";"22";"37";"2";"3";"5";"30";"6";"2";"0";"1";"1";"0";"-1";"0";"no";"11.580745000000004";"0.000009344203585843339";"1"
"15842";"Marek Tomica";"20";"EURO";"72";"181";"C";"2001";"285";"176";"70";"7";"15";"22";"22";"6";"11";"0";"0";"0";"0";"-2";"0";"no";"12.998495000000002";"0.0000022637286393955862";"1"
"15958";"Jamie Chamberlain";"18";"CAN";"73";"190";"R";"1999";"265";"64";"68";"15";"24";"39";"26";"-1";"4";"0";"1";"1";"4";"-1";"0";"no";"12.125491000000002";"0.000005419557328416913";"1"
"16060";"Brad Self";"18";"CAN";"71";"194";"C";"1999";"235";"192";"48";"17";"12";"29";"8";"14";"5";"1";"0";"1";"4";"-2";"0";"no";"13.367354";"0.0000015654213054787136";"1"
"16858";"Dusty Jamieson";"18";"CAN";"74";"196";"L";"1999";"136";"58";"66";"16";"28";"44";"10";"20";"6";"1";"0";"1";"2";"-1";"0";"no";"11.961384";"0.00000638607712785437";"1"
"16859";"Chad Starling";"19";"CAN";"78";"205";"D";"1999";"114";"55";"65";"4";"13";"17";"101";"18";"14";"0";"0";"0";"8";"-5";"0";"no";"11.953965000000002";"0.000006433631313381388";"1"
"17119";"Jason Kostadine";"19";"USA";"74";"185";"R";"2002";"251";"120";"70";"8";"5";"13";"295";"-10";"12";"1";"0";"1";"37";"-1";"0";"no";"12.491859000000002";"0.000003757101569102064";"1"
"17859";"Blair Stayzer";"19";"CAN";"75";"225";"D";"1999";"190";"137";"62";"12";"19";"31";"140";"-18";"5";"2";"0";"2";"14";"-9";"0";"no";"11.962851000000002";"0.0000063767156807476036";"1"
"17909";"Jiri Cetkovsky";"19";"EURO";"78";"243";"L";"2002";"141";"37";"28";"9";"6";"15";"40";"-3";"2";"0";"0";"0";"4";"-4";"0";"no";"11.057768000000001";"0.000015763967440119393";"1"
"18315";"Martin Paroulek";"21";"EURO";"72";"174";"R";"2000";"278";"211";"48";"11";"14";"25";"26";"11";"8";"1";"1";"2";"4";"-2";"0";"no";"13.328238";"0.0000016278675879595437";"1"
"18471";"Mirko Murovic";"18";"EURO";"75";"209";"L";"1999";"108";"67";"69";"21";"33";"54";"60";"-2";"4";"0";"1";"1";"2";"-4";"0";"no";"11.608155";"0.000009091559597578333";"1"
"19001";"Ryan Held";"18";"CAN";"73";"194";"C";"1998";"257";"92";"59";"15";"16";"31";"35";"-4";"6";"1";"0";"1";"7";"-6";"0";"no";"12.262382";"0.000004726211034682604";"1"
"19384";"Nicolas Corbeil";"18";"CAN";"71";"174";"C";"2001";"88";"87";"68";"33";"51";"84";"159";"-11";"3";"1";"3";"4";"4";"-4";"0";"no";"12.281837000000003";"0.0000046351516772207055";"1"
"20516";"Mikhail Lyubushin";"19";"EURO";"74";"205";"D";"2002";"215";"120";"55";"4";"7";"11";"56";"-10";"3";"0";"0";"0";"0";"-1";"0";"no";"12.449423000000003";"0.00000391996857813364";"1"
"21101";"Shaun Norrie";"18";"CAN";"75";"192";"R";"2000";"184";"112";"67";"12";"13";"25";"94";"11";"13";"3";"2";"5";"8";"-1";"0";"no";"12.667903000000003";"0.0000031506362208711357";"1"
"21700";"Scotty Balan";"18";"CAN";"75";"205";"D";"2000";"106";"45";"67";"3";"11";"14";"157";"-4";"7";"0";"1";"1";"17";"-2";"0";"no";"11.874136000000002";"0.000006968274197000272";"1"
"22794";"Radek Matejovsky";"21";"EURO";"73";"196";"R";"1998";"250";"92";"52";"9";"4";"13";"20";"0";"3";"0";"0";"0";"0";"-1";"0";"no";"12.039792000000002";"0.000005904487490740439";"1"
"22961";"Michal Vondrka";"19";"EURO";"73";"190";"L";"2001";"155";"176";"43";"10";"14";"24";"39";"1";"7";"0";"1";"1";"0";"-6";"0";"no";"12.798401";"0.00000276518293237704";"1"
"24053";"Jan Fadrny";"18";"EURO";"72";"196";"C";"1998";"169";"30";"32";"8";"6";"14";"14";"0";"3";"0";"0";"0";"4";"-2";"0";"no";"11.979466";"0.0000062716425265964295";"1"
"24736";"Michal Pinc";"19";"EURO";"71";"176";"C";"2000";"142";"74";"58";"19";"43";"62";"131";"5";"11";"0";"5";"5";"18";"-6";"0";"no";"11.952871";"0.000006440673512086579";"1"
"26094";"Seneque Hyacinthe";"18";"CAN";"72";"207";"R";"1999";"178";"147";"63";"24";"33";"57";"106";"-7";"4";"0";"2";"2";"2";"-1";"0";"no";"12.542946000000002";"0.0000035699835501305006";"1"
