id,PlayerName,DraftAge,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,GP_greater_than_0,sum_wk_xk,class_0_prob,LeafNode
13658,"Tomas Micka",19,EURO,76,207,L,2002,245,120,50,12,16,28,79,5,0,0,0,0,0,0,0,no,7.7620349999999965,0.0004254085744963508,4
13797,"Thatcher Bell",18,CAN,72,187,C,2000,71,23,53,26,43,69,61,13,5,0,0,0,15,0,0,no,2.2659460000000005,0.09398284288210074,4
13964,"Vladimir Korsunov",18,EURO,73,192,D,2001,105,15,16,0,3,3,12,3,0,0,0,0,0,0,0,no,12.179726000000002,0.000005133457580712764,4
14087,"Adam Taylor",18,CAN,73,205,C,2002,224,87,72,11,23,34,119,8,19,3,4,7,15,10,0,no,404.5093130000001,2.1078392421932354e-176,4
14452,"Brian Lee",18,USA,75,198,D,2002,71,30,66,5,14,19,115,21,21,1,6,7,41,8,0,no,321.1222900000001,3.4543110102334687e-140,4
14467,"Lee Falardeau",19,USA,75,216,C,2002,33,31,34,4,10,14,24,8,0,0,0,0,0,0,0,no,6.179285999999998,0.0020676227466463345,4
14644,"Kevin Mitchell",18,USA,73,194,D,1998,234,92,65,10,46,56,73,11,13,1,9,10,14,3,0,no,122.70112599999997,5.147283097972802e-54,4
14828,"Sergei Mozyakin",21,EURO,71,185,L,2002,263,120,54,34,30,64,10,56,14,10,13,23,4,12,0,no,485.9814190000001,8.728737252189324e-212,4
14966,"Ladislav Kouba",19,EURO,73,207,L,2002,216,98,62,16,14,30,33,22,23,5,3,8,6,6,0,no,247.32854199999994,3.8599261198448144e-108,4
15025,"Alexei Tereschenko",20,EURO,70,185,C,2000,91,22,35,4,6,10,12,6,16,1,1,2,8,0,0,no,8.954058,0.000129195059901111,4
15027,"Konstantin Panov",19,EURO,72,243,R,1999,131,70,62,33,30,63,62,17,13,5,3,8,10,2,0,no,82.625176,1.3071998727598342e-36,4
15090,"Maxim Birbraer",20,EURO,75,220,L,2000,67,41,51,56,38,94,58,12,0,0,0,0,0,0,0,no,3.831628999999998,0.021214471080426397,4
15116,"Ed Hill",19,USA,74,218,D,1999,61,30,53,7,17,24,42,24,12,0,2,2,8,3,0,no,124.933803,5.519995884198516e-55,4
15241,"Brett Lutes",18,CAN,73,187,L,2000,229,211,4,2,1,3,0,1,0,0,0,0,0,0,0,no,5.884095999999999,0.002775635650227355,4
15250,"Viktor Uchevatov",18,EURO,75,225,D,2001,60,30,6,0,2,2,4,9,0,0,0,0,0,0,0,no,10.366042000000002,0.00003148266493428653,4
15257,"Tim Branham",19,USA,74,194,D,2000,93,129,60,8,27,35,78,16,25,4,7,11,17,8,0,no,323.5276160000001,3.117034634348795e-141,4
15514,"Marek Chvatal",18,EURO,72,187,D,2002,84,66,51,10,14,24,99,23,1,0,0,0,0,0,0,no,9.836543,0.000053458951492514324,4
15610,"Jeremy Swanson",18,CAN,72,207,D,2002,169,42,67,8,16,24,78,27,20,1,4,5,12,6,0,no,244.99102999999997,3.9971233918276215e-107,4
15678,"Dmitri Syomin",18,EURO,74,201,C,2001,159,54,27,7,7,14,4,2,11,2,3,5,2,0,0,no,8.846214999999995,0.00014390475294622854,4
15689,"Darrell Hay",19,CAN,72,201,D,1999,271,157,72,13,49,62,87,27,12,2,10,12,22,5,0,no,199.240324,2.958194424469337e-87,4
15691,"Mark Rooneem",19,CAN,74,192,L,2002,115,120,69,18,23,41,77,11,4,0,0,0,10,0,0,no,2.399777999999998,0.08318962667028755,4
15947,"Jeremy Van Hoof",20,CAN,74,185,D,2001,222,176,65,1,14,15,49,11,20,3,4,7,27,5,0,no,201.21747100000002,4.0960257874272836e-88,4
15978,"Matt Zultek",20,CAN,76,231,L,1999,56,192,56,33,33,66,71,35,9,6,2,8,4,6,0,no,239.99698499999994,5.897035484457992e-105,4
16663,"Joel Stepp",18,CAN,70,187,C,2001,69,42,70,24,13,37,89,23,22,6,3,9,24,0,0,no,-0.24358999999999742,0.5605981577688931,4
16731,"Alexander Golovin",18,EURO,70,194,L,2001,174,57,6,2,3,5,0,3,0,0,0,0,0,0,0,no,11.040523000000002,0.000016038170216697628,4
16744,"Artyom Chernov",18,EURO,71,207,L,2000,162,46,25,11,9,20,20,4,5,0,0,0,0,0,0,no,9.488865999999998,0.00007568415844251043,4
16863,"Matt Gens",19,USA,72,181,D,2002,278,120,40,6,17,23,28,22,0,0,0,0,0,0,0,no,6.345975999999999,0.0017507198126296174,4
17101,"Nate Kiser",18,USA,73,225,D,2000,160,77,63,3,5,8,102,18,23,1,1,2,18,4,0,no,163.14444699999999,1.403676130311284e-71,4
17165,"Jan Sochor",19,EURO,72,205,R,1999,161,78,47,10,11,21,14,7,0,0,0,0,0,0,0,no,8.761645999999997,0.00015660206088260678,4
17231,"Maxim Spiridonov",20,EURO,70,185,R,1998,241,92,66,54,44,98,52,23,19,3,4,7,4,2,0,no,83.70796399999999,4.426833047828617e-37,4
17969,"Ryan Jorde",19,CAN,75,216,D,2001,279,176,67,1,6,7,219,3,0,0,0,0,0,0,0,no,4.733848999999997,0.008715927902729372,4
18146,"Mario Cartelli",22,EURO,73,203,D,2001,262,176,58,11,18,29,32,12,0,0,0,0,0,0,0,no,6.353368999999996,0.0017378468775681856,4
