id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
60623,Regan Darby,18,Canada,CAN,73,201,D,1998,90,,39,1,3,4,153,-14,0,0,0,0,0,0,0,0,no
60630,Maxym Linnik,19,Ukraine,EURO,76,198,D,1998,41,,35,4,14,18,130,0,0,0,0,0,0,0,0,0,no
60906,Alexander Barkunov,19,Russia,EURO,73,203,D,2000,151,,66,7,14,21,74,0,8,2,1,3,0,0,0,0,no
60997,Jason Maleyko,20,Canada,CAN,73,181,D,2000,188,,63,5,27,32,108,-1,6,0,4,4,8,-1,0,0,no
61185,Danny Eberly,20,USA,USA,72,192,D,2000,238,,21,2,5,7,8,0,0,0,0,0,0,0,0,0,no
61187,Eric Bowen,19,USA,USA,75,212,R,2000,244,,69,2,5,7,184,-26,0,0,0,0,0,0,0,0,no
61189,Matt Sommerfeld,18,Canada,CAN,74,203,L,2000,253,,67,1,3,4,215,3,5,0,0,0,15,0,0,0,no
61190,Troy Ferguson,20,USA,USA,69,161,C,2000,276,,42,5,7,12,10,-3,0,0,0,0,0,0,0,0,no
64939,Craig Brunel,20,Canada,CAN,72,220,R,1999,263,,50,10,8,18,173,0,14,4,2,6,48,1,0,0,no
64940,Brian Mcmeekin,20,Canada,CAN,76,207,D,1999,260,,26,0,1,1,12,0,0,0,0,0,0,0,0,0,no
66006,Yevgeni Pastukh,19,Ukraine,EURO,71,179,L,1998,225,,29,6,6,12,16,0,3,0,0,0,0,0,0,0,no
70121,Jim Baxter,20,Canada,CAN,75,236,D,1999,202,,66,22,52,74,20,8,14,4,8,12,4,-2,0,0,no
74668,Dan Hulak,18,Canada,CAN,75,190,D,1998,221,,70,3,14,17,32,-1,12,0,2,2,2,6,0,0,no
78405,Alexander Krevsun,19,Kazakhstan,EURO,73,216,L,1999,124,,37,14,6,20,38,0,2,0,0,0,0,0,0,0,no
78429,Andrei Maximenko,18,Russia,EURO,72,181,L,1999,149,,35,1,3,4,45,0,0,0,0,0,0,0,0,0,no
78905,Josh Reed,20,Canada,CAN,74,205,D,1999,172,,54,16,38,54,110,0,0,0,0,0,0,0,0,0,no
78936,Brett Draney,18,Canada,CAN,72,179,L,1999,186,,58,7,10,17,48,10,15,1,1,2,8,0,0,0,no
