@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,8-9,23-24'

@attribute DraftAge_norm numeric
@attribute country_group {EURO,CAN,USA}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {D,C,L,R}
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute GP_greater_than_0 {no,yes}

@data
0,CAN,0.428571,0.317308,C,?,0.655556,0.205479,0.156863,0.196203,0.073069,0.52,0.2,0.047619,0,0.021739,0.058333,0.125,no
0.071429,EURO,0.5,0.423077,D,?,0.522222,0.082192,0.029412,0.056962,0.146138,0.552,0,0,0,0,0,0.375,no
0.357143,EURO,0.5,0.615385,L,?,0.3,0.068493,0.068627,0.075949,0.033403,0.552,0.166667,0.142857,0.038462,0.086957,0.016667,0.375,no
0.071429,CAN,0.5,0.403846,D,?,0.677778,0,0.098039,0.063291,0.227557,0.424,0,0,0,0,0,0.375,no
0.071429,CAN,0.357143,0.25,C,?,0.5,0.191781,0.313725,0.291139,0.037578,0.648,0,0,0,0,0,0.375,no
0,CAN,0.428571,0.403846,D,?,0.588889,0.054795,0.147059,0.120253,0.19833,0.496,0,0,0,0,0,0.375,no
0,EURO,0.142857,0.144231,L,?,0.311111,0.205479,0.088235,0.151899,0.139875,0.552,0,0,0,0,0,0.375,no
0,EURO,0.357143,0.144231,R,?,0.588889,0.315068,0.166667,0.253165,0.075157,0.552,0,0,0,0,0,0.375,no
0.214286,EURO,0.428571,0.336538,R,?,0.577778,0.123288,0.039216,0.082278,0.041754,0.552,0.1,0,0,0,0,0.333333,no
0.071429,CAN,0.142857,0.230769,C,?,0.788889,0.356164,0.686275,0.607595,0.135699,0.784,0.5,0.333333,0.269231,0.304348,0.266667,0.5,no
